persona,workflow_stage,job,context,goal,success_criteria,pain_points,sources,evidence_strength,keywords
DevOps Engineer,USE,Paginate through archived PipelineRun results correctly,Viewing archived PipelineRun data with data_source=archived filter,Load additional results when scrolling using correct next_page_token field,Pagination works for archived results; next_page_token field handled correctly; All pages of results load,Pagination stops after first page; nextPageToken vs next_page_token mismatch; Cannot view all archived results,op-release-notes-1-21-self-managed-reduced.adoc lines 862-875,direct,archived PipelineRun; pagination; next_page_token; data_source filter; SRVKP-9397
CI/CD Engineer,USE,View correct task parameters in Pipeline Builder for tasks across namespaces,Building pipelines with tasks from different namespaces,"See correct task parameter data from selected namespace, not stale data",Task parameters match selected namespace; No stale or incorrect data; Unique task names generated for duplicates; Validation detects name conflicts,Stale task parameter data displayed; Wrong parameters from different namespace; Invalid pipeline configurations; Task name conflicts,op-release-notes-1-21-self-managed-reduced.adoc lines 867-870,direct,Pipeline Builder; task parameters; namespace; stale data; task name conflicts; SRVKP-8998
DevOps Engineer,USE,Monitor Pipeline Overview page with reliable data loading,Monitoring pipelines on clusters with slow backend responses,View complete and current data without stale or partial information,No stale data displayed; Complete data loads reliably; Increased API timeouts improve reliability; Safeguards prevent incomplete data,Stale data displayed; Partial data loading; Silent failures on slow clusters; Backend response issues,op-release-notes-1-21-self-managed-reduced.adoc lines 883-886,direct,Pipeline Overview page; slow backend; stale data; API timeouts; reliability; SRVKP-9427
DevOps Engineer,USE,Understand time range filter with corrected Last week label,Filtering PipelineRuns by time range,Select correct time range with clear label and consistent API behavior,Label reads Last week not Last weeks; API payload aligned with label; Time range behavior consistent,Ambiguous filter label; Inconsistent API behavior; Confusion about time range,op-release-notes-1-21-self-managed-reduced.adoc lines 888-891,direct,time-range filter; Last week; Last weeks; filter label; API payload; SRVKP-9428
DevOps Engineer,USE,Track data loading status on Pipeline Overview cards with loading indicators,Monitoring Pipeline Overview page while data loads,See loading spinners on each card during data retrieval for clear feedback,Loading spinners displayed on cards; Clear visual feedback during fetch; Better user experience,No loading indicators; Unclear if data is loading; Poor user feedback,op-release-notes-1-21-self-managed-reduced.adoc lines 893-896,direct,Pipeline Overview cards; loading indicators; loading spinners; visual feedback; SRVKP-9436
CI/CD Engineer,USE,Use GitOps commands in GitLab merge request discussion replies,Collaborating on GitLab merge requests with Pipelines as Code,Post commands like /ok-to-test in discussion thread replies and have them recognized,Commands in replies are recognized; Not limited to top-level comments; Improved workflow reliability,Commands in replies ignored; Only top-level comments work; Workflow limitations,op-release-notes-1-21-self-managed-reduced.adoc lines 902-905,direct,GitOps commands; GitLab merge request; /ok-to-test; discussion replies; SRVKP-8324
CI/CD Engineer,USE,View correct Pending CI status for unauthorized Bitbucket PRs,Pull request opened by unauthorized user on Bitbucket Data Center,"See Pending status while awaiting approval, not incorrect Running status",CI status shows Pending; Not incorrectly Running; Awaiting administrator approval,Status incorrectly shows Running; Confusing status display; Does not reflect actual state,op-release-notes-1-21-self-managed-reduced.adoc lines 907-910,direct,Bitbucket Data Center; CI status; Pending; Running; unauthorized user; SRVKP-8269
DevOps Engineer,USE,View repository information with opc pac install info command,Checking Pipelines as Code repository configuration,Use install info command to display repositories for single CR correctly,install info shows repositories correctly; --namespace/-n binds correctly; Not bound to kubeconfig,install info not showing repositories; Incorrect namespace binding; CLI behavior issues,op-release-notes-1-21-self-managed-reduced.adoc lines 912-915,direct,opc-pac CLI; install info; namespace binding; kubeconfig; SRVKP-7152
CI/CD Engineer,USE,Trigger pipelines on Git tag push events regardless of skip-push-event-for-pr-commits setting,Using tag pushes to trigger pipelines,Ensure tag push events proceed regardless of skip-push-event-for-pr-commits setting,Tag push events not skipped; skip-push-event-for-pr-commits does not affect tags; Tag-based workflows work correctly,Tag push events incorrectly skipped; Setting affects wrong event type; Tag workflows broken,op-release-notes-1-21-self-managed-reduced.adoc lines 917-920,direct,tag push events; skip-push-event-for-pr-commits; Git tags; SRVKP-9111
Security Engineer,USE,Re-evaluate permissions on each GitLab MR commit when remember-ok-to-test is false,Reviewing merge requests from unauthorized users with remember-ok-to-test=false,"Ensure /ok-to-test approval is required for each new commit, not remembered",Permissions re-evaluated on every commit; /ok-to-test not remembered for later commits; CI halted for each new commit,Single approval incorrectly remembered; Unauthorized commits run without new approval; Security policy not enforced,op-release-notes-1-21-self-managed-reduced.adoc lines 922-925,direct,remember-ok-to-test; GitLab merge request; /ok-to-test; permission re-evaluation; SRVKP-9200
CI/CD Engineer,TROUBLESHOOT,Prevent GitLab merge requests from auto-merging when PipelineRuns are canceled,PipelineRuns canceled but GitLab MRs still merging,Ensure canceled PipelineRuns reported correctly to GitLab API to keep MRs open,Canceled status mapped to canceled for GitLab; MRs remain open when PipelineRun canceled; Auto-merge prevented correctly,GitLab auto-merges despite canceled pipeline; Status spelling mismatch; Incorrect API reporting,op-release-notes-1-21-self-managed-reduced.adoc lines 927-930,direct,GitLab API compatibility; canceled vs canceled; PipelineRun status; auto-merge; SRVKP-9050
CI/CD Engineer,USE,Evaluate placeholder variables when some data sources are missing,Using placeholder variables in Pipelines as Code,"Process body.*, headers.*, and files.* placeholders independently without failure",Placeholders work if corresponding data present; Missing payload or headers does not fail all placeholders; Independent evaluation of each type,Evaluation fails when data source missing; All placeholders fail together; Cannot use partial data,op-release-notes-1-21-self-managed-reduced.adoc lines 932-935,direct,placeholder variables; body.*; headers.*; files.*; event payload; SRVKP-8984
Platform Administrator,OPTIMIZE,Optimize GitHub App installation ID retrieval performance,Using GitHub App for Pipelines as Code,Reduce API calls by directly fetching installation by repository URL with organization fallback,No unnecessary API listings; Direct installation fetch by repo URL; Improved performance; Reduced API calls,Unnecessary API listings; Poor performance; Excessive API calls,op-release-notes-1-21-self-managed-reduced.adoc lines 938-941,direct,GitHub App; installation ID; API optimization; repository URL; SRVKP-9141
CI/CD Engineer,TROUBLESHOOT,Get correct commit IDs for Bitbucket merge commits,Bitbucket merge commits showing wrong revision variable,Verify revision variable fetches correct commit IDs after revert of problematic change,Correct commit IDs for merge commits; revision variable accurate; Expected behavior restored,Wrong commit IDs retrieved; revision variable incorrect; Broken merge commit handling,op-release-notes-1-21-self-managed-reduced.adoc lines 944-947,direct,Bitbucket merge commits; revision variable; commit IDs; SRVKP-9141
CI/CD Engineer,USE,"Cancel only PR-triggered PipelineRuns, not push-triggered ones",Pull request closed and cancel-in-progress triggered,"Ensure only PipelineRuns from the PR are canceled, not unrelated push pipelines",Cancellation scoped to PR PipelineRuns only; Push-triggered PipelineRuns not canceled; Correct targeting of cancellation,Wrong PipelineRuns canceled; Push pipelines affected by PR-close; Overly broad cancellation scope,op-release-notes-1-21-self-managed-reduced.adoc lines 950-953,direct,cancel-in-progress; PR-close events; push-triggered PipelineRuns; cancellation scope; SRVKP-9141
CI/CD Engineer,USE,Post GitLab merge request comments correctly from forks,Working with GitLab forks and merge requests,Ensure comments post successfully using TargetProjectID instead of wrong Project ID,Comments posted correctly from forks; TargetProjectID used; No posting failures,Comments not posted from forks; Wrong Project ID used; Fork workflow broken,op-release-notes-1-21-self-managed-reduced.adoc lines 956-959,direct,GitLab merge request; comments from forks; TargetProjectID; SRVKP-9141
Platform Administrator,TROUBLESHOOT,Handle duplicate secret creation gracefully without failures,Secret creation encountering existing secret,Reuse existing secret instead of failing on duplicate error,Existing secret reused; No failure on duplicate; Graceful handling,Fails on existing secret; Duplicate secret error; Cannot proceed with creation,op-release-notes-1-21-self-managed-reduced.adoc lines 962-965,direct,duplicate secret; secret creation; graceful handling; existing secret; SRVKP-9141
CI/CD Engineer,TROUBLESHOOT,Create GitHub check runs with correct status and output fields,Pipelines as Code creating check runs on GitHub,"Ensure check runs use proper status/conclusion and include Title, Summary, and Text output","Check runs use statusOpts not hardcoded in_progress; Title, Summary, Text fields included; No patch attempts on invalid PipelineRun names",Wrong hardcoded status; Missing output fields; Failed patches on validation errors,op-release-notes-1-21-self-managed-reduced.adoc lines 968-971,direct,GitHub check runs; status; conclusion; Title; Summary; Text; SRVKP-9141
CI/CD Engineer,TROUBLESHOOT,Update GitLab commit status correctly after fixing validation errors,"PipelineRun failed validation, errors fixed, but MR still shows failed",Ensure commit status updates after validation fix to reflect correct status,Commit status updated after fix; Merge request shows correct status; Auto-merge enabled after fix,Failed status persists after fix; Auto-merge blocked incorrectly; Status not updated,op-release-notes-1-21-self-managed-reduced.adoc lines 974-982,direct,GitLab commit status; validation errors; failed status; auto-merge; SRVKP-9141; SRVKP-9044
DevOps Engineer,USE,Copy multiple images using skopeo-copy task with url.txt file,Copying many container images with skopeo-copy task,Use url.txt file for bulk image copying regardless of source and destination URL parameters,skopeo-copy task parameters are optional; url.txt file method works; Multiple images copied successfully,Task fails without image URLs; Cannot use url.txt file; Bulk copy not supported,op-release-notes-1-21-self-managed-reduced.adoc lines 987-990,direct,skopeo-copy task; url.txt; multiple images; bulk copy; SRVKP-6491
Platform Administrator,TROUBLESHOOT,Verify PipelineRun deletion metric has correct description,Monitoring Tekton Results metrics,Understand prDeleteDuration metric measures time between completion and deletion,Metric description accurate; Time between completion and deletion measured; No confusion in metrics reporting,Inaccurate metric description; Confusion about what metric measures; Poor metrics reliability,op-release-notes-1-21-self-managed-reduced.adoc lines 995-998,direct,prDeleteDuration metric; Tekton Results; metric description; PipelineRun deletion; SRVKP-9138
Platform Administrator,TROUBLESHOOT,Prevent database constraint violations from race conditions in Results watcher,Experiencing PostgreSQL unique-constraint violations in Tekton Results,Ensure proper handling of duplicate key errors by refetching existing records,Race condition fixed; Duplicate key errors handled correctly; PostgreSQL error translator added; No ambiguous Unknown errors,Concurrent Result record creation; Unique-constraint violations; Ambiguous gRPC errors,op-release-notes-1-21-self-managed-reduced.adoc lines 1000-1003,direct,race condition; Tekton Results watcher; PostgreSQL unique-constraint; SQLSTATE duplicate key; SRVKP-9138
Platform Administrator,TROUBLESHOOT,Ensure reliable annotation updates with Server-Side Apply,Tekton Results managing annotations on Kubernetes objects,"Use SSA for reliable, conflict-aware annotation updates instead of merge patches",Server-Side Apply used; Single Patch operation; Reliable updates; Conflict-aware,Unreliable annotation updates; Merge patch conflicts; Multi-step logic issues,op-release-notes-1-21-self-managed-reduced.adoc lines 1005-1008,direct,annotations management; Server-Side Apply; SSA; merge patches; Tekton Results; SRVKP-9138
Platform Administrator,TROUBLESHOOT,Ensure defaultRetention takes precedence over deprecated maxRetention field,Upgrading Tekton Results with deprecated maxRetention field in config,Verify defaultRetention field correctly takes precedence during upgrade,defaultRetention takes precedence; Behavior consistent with TektonConfig CR; Backward compatibility maintained,Inconsistent retention behavior; Deprecated field takes precedence; Configuration conflicts after upgrade,op-release-notes-1-21-self-managed-reduced.adoc lines 1010-1013,direct,defaultRetention; maxRetention deprecated; retention policy; TektonConfig CR; SRVKP-9425
DevOps Engineer,USE,Download latest git-clone task version 0.10 instead of outdated 0.9,Installing git-clone task from Tekton Hub,"Ensure latest version 0.10 is downloaded, not outdated 0.9.0",git-clone task version 0.10 downloaded; Latest improvements available; No version inconsistencies,Outdated version 0.9 downloaded; Missing improvements in 0.10; Version inconsistencies,op-release-notes-1-21-self-managed-reduced.adoc lines 1017-1020,direct,git-clone task; version 0.10; version 0.9; Tekton Hub; SRVKP-8568
Platform Administrator,OPTIMIZE,Improve Tekton Chains controller pod distribution with anti-affinity rule,Managing Tekton Chains controller pod scheduling,Ensure pods distributed evenly across nodes to prevent resource contention,Anti-affinity rule added; Pods evenly distributed; Better resource distribution; No resource contention,Pods unevenly distributed; Resource contention on nodes; Poor pod scheduling,op-release-notes-1-21-self-managed-reduced.adoc lines 1025-1028,direct,tekton-chains-controller; anti-affinity rule; pod scheduling; resource distribution; SRVKP-8892
Platform Administrator,TROUBLESHOOT,Ensure TaskRun finalizers are removed for proper cleanup,TaskRun resources not cleaning up properly,Verify old TaskRun finalizer is removed so resources clean up as expected,Finalizer removed; TaskRun resources cleaned up; No lingering resources,Old finalizer remains; Resources not cleaned up; Completed tasks not removed,op-release-notes-1-21-self-managed-reduced.adoc lines 1030-1033,direct,TaskRun finalizer; cleanup; resource cleanup; Tekton Chains; SRVKP-9137
Platform Administrator,MIGRATE,Retain event-based pruner config values after upgrade,Upgrading OpenShift Pipelines with event-based pruner enabled,"Ensure pruner config values are retained after upgrade, not reverted to defaults",Pruner config values retained; No revert to defaults after upgrade; Configuration preserved,Config values reverted to defaults; Pruner settings lost after upgrade; Need to reconfigure after upgrade,op-release-notes-1-21-self-managed-reduced.adoc lines 1042-1045,direct,event-based pruner; upgrade; config values retained; default values; SRVKP-10008
CI/CD Engineer,PLAN,Plan for future migration from OpenCensus to OpenTelemetry,Using OpenCensus for observability and tracing in Pipelines,Understand that OpenCensus is deprecated and prepare for OpenTelemetry migration,Aware of deprecation timeline; Prepared for PromQL query updates; Migration plan in place,Breaking change in observability tooling; Need to update PromQL queries; Migration effort required,op-release-notes-1-21-self-managed-reduced.adoc lines 1056-1059,direct,OpenCensus deprecated; OpenTelemetry; observability; tracing; PromQL queries; SRVKP-8534
