doc_id,book,doc,section,line_start,line_end,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,evidence
secure-authenticating-repos-secrets,secure,,Authenticating pipelines with repositories using secrets,2246,2316,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",core,DevOps engineer,Secure,main_job,,"Create service account or define workspace; Have repository credentials (tokens, SSH keys, or Docker configs)",Configure pipeline runs; Configure task runs; Manage service account permissions,Minimize risk of credential exposure; Enable authenticated access to private repositories; Reduce authentication configuration complexity,"Section 'Authenticating pipelines with repositories using secrets', lines 2246-2316. Abstract states: 'you can use secrets to authenticate pipeline runs and task runs that interact with a Git repository or container repository during execution'"
secure-secrets-service-accounts,secure,,Providing secrets using service accounts,2324,2332,"When I need to pass authentication credentials to pipeline tasks, I want to associate secrets with service accounts, so I can make authentication information automatically available to tasks without manual configuration",core,DevOps engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Create authentication secrets; Define service account,Annotate secrets with repository URLs; Configure TaskRun or PipelineRun with service account,Minimize manual credential passing in task definitions; Ensure credentials are automatically mounted for tasks; Reduce likelihood of credential misconfiguration,"Section 'Providing secrets using service accounts', lines 2324-2332. Concept states: 'The information in the secret becomes available to the tasks that run under this service account'"
secure-secret-types-annotations,secure,,Types and annotation of secrets for service accounts,2338,2455,"When I need to configure repository authentication, I want to understand supported secret types and required annotations, so I can correctly specify which repositories each secret applies to",core,DevOps engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Understand Kubernetes secret types; Know target repository URLs,Create Git authentication secrets; Create container registry secrets; Configure service accounts,Minimize authentication failures due to incorrect secret types; Ensure proper secret-to-repository mapping via annotations; Support multiple repositories with appropriate annotations,"Section 'Types and annotation of secrets for service accounts', lines 2338-2455. Documents kubernetes.io/basic-auth, kubernetes.io/ssh-auth for Git; basic-auth, dockercfg, dockerconfigjson for registries; tekton.dev/git-N and tekton.dev/docker-N annotations"
secure-basic-http-git-sa,secure,,Configuring Basic HTTP authentication for Git using a service account,2463,2566,"When I need to authenticate pipelines to password-protected Git repositories, I want to configure Basic HTTP authentication using service accounts, so I can enable resource retrieval with username and personal access token",core,DevOps engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Have Git personal access token or password; Create target namespace; Understand service account configuration,Configure SSH authentication for Git; Associate service account with TaskRun or PipelineRun,Enable authenticated Git clone operations in pipelines; Minimize credential exposure in pipeline definitions; Support GitHub personal access token authentication,"Section 'Configuring Basic HTTP authentication for Git using a service account', lines 2463-2566. Procedure creates kubernetes.io/basic-auth secret with tekton.dev/git-0 annotation, associates with service account, and links to TaskRun/PipelineRun"
secure-ssh-git-sa,secure,,Configuring SSH authentication for Git using a service account,2574,2676,"When I need to authenticate pipelines to SSH-protected Git repositories, I want to configure SSH-based authentication using service accounts, so I can enable secure resource retrieval using private keys",core,DevOps engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Have SSH private key; Have known_hosts file or accept security risk; Create target namespace,Configure Basic HTTP authentication for Git; Generate SSH keys; Associate service account with TaskRun or PipelineRun,Enable SSH-based Git clone operations in pipelines; Minimize risk of man-in-the-middle attacks via known_hosts; Support custom SSH ports for Git repositories,"Section 'Configuring SSH authentication for Git using a service account', lines 2574-2676. Procedure creates kubernetes.io/ssh-auth secret with ssh-privatekey and known_hosts, uses tekton.dev/git-0 annotation, supports custom port via annotation"
secure-registry-auth-sa,secure,,Configuring container registry authentication by using a service account,2684,2768,"When pipelines need to pull from or push to protected container registries, I want to configure registry authentication using service accounts, so I can enable secure image operations during pipeline execution",core,DevOps engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Have Docker config.json with registry credentials; Create target namespace,Configure Git authentication; Build container images in pipelines; Push images to registries,Enable authenticated image pull and push operations; Minimize credential exposure in pipeline definitions; Support multiple container registries,"Section 'Configuring container registry authentication by using a service account', lines 2684-2768. Procedure creates secret from config.json, associates with service account, and links to TaskRun/PipelineRun"
secure-ssh-git-task-symlink,secure,,SSH Git authentication in tasks,2790,2820,"When I run Git commands directly in task steps with SSH authentication, I want to symlink SSH directories correctly, so I can ensure Git finds the authentication files despite HOME variable differences",core,Developer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Understand SSH authentication setup; Know which user the task runs as,Configure SSH authentication for Git; Create custom tasks with Git commands,Ensure Git SSH authentication works in custom tasks; Minimize authentication failures from directory mismatches; Avoid need for symlink when using git-clone task,"Section 'SSH Git authentication in tasks', lines 2790-2820. Explains that Git ignores $HOME and uses /etc/passwd, requiring symlink: 'ln -s $HOME/.ssh /root/.ssh' before Git commands"
secure-secrets-nonroot-user,secure,,Use of secrets as a non-root user,2827,2846,"When tasks run as non-root users, I want to configure SSH authentication with proper user home directories, so I can enable secure Git access without root privileges",core,Security engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Understand security contexts in tasks; Know non-root user configuration; Have valid home directory in /etc/passwd,Configure security context constraints; Run tasks with restricted privileges; Symlink SSH directories,Enable SSH authentication for non-root task execution; Minimize privilege escalation risks; Support randomized user/group IDs,"Section 'Use of secrets as a non-root user', lines 2827-2846. States SSH requires valid home directory in /etc/passwd and symlink from $HOME to actual home, notes platform may randomize users/groups"
secure-secrets-workspaces,secure,,Providing secrets using workspaces,2854,2864,"When I need to pass authentication credentials without service account annotations, I want to use workspaces to bind secrets to tasks, so I can provide credentials directly at runtime without annotation requirements",core,DevOps engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Define named workspace in task; Create authentication secret,Configure workspace in pipeline; Bind secret to workspace at runtime,Minimize annotation management overhead; Enable flexible credential passing per task run; Reduce coupling between secrets and service accounts,"Section 'Providing secrets using workspaces', lines 2854-2864. Concept states: 'If you pass authentication secrets by using workspaces, you do not need annotations for the secrets'"
secure-git-ssh-workspace,secure,,Configuring SSH authentication for Git using workspaces,2872,2998,"When I need to authenticate Git operations via workspaces, I want to configure SSH authentication with workspace-bound secrets, so I can pass credentials at task runtime without service account coupling",core,DevOps engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Have SSH private key and known_hosts files; Define ssh-directory workspace in task,Create SSH secret from .ssh directory; Run task with workspace secret binding; Copy workspace to HOME/.ssh in task steps,Enable workspace-based SSH authentication for Git; Minimize service account annotation requirements; Support runtime credential selection per task invocation,"Section 'Configuring SSH authentication for Git using workspaces', lines 2872-2998. Shows creating secret from id_ed25519 and known_hosts, defining workspace in task, accessing via $(workspaces.ssh-directory.path), running with --workspace name=ssh-directory,secret=my-github-ssh-credentials"
secure-registry-auth-workspace,secure,,Configuring container registry authentication using workspaces,3005,3089,"When I need to authenticate container registry operations via workspaces, I want to configure registry authentication with workspace-bound secrets, so I can pass Docker credentials at task runtime without service account coupling",core,DevOps engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Have Docker config.json with registry credentials; Define dockerconfig workspace in task,Create registry secret from config.json; Set DOCKER_CONFIG environment variable to workspace path; Run task with workspace secret binding,Enable workspace-based registry authentication; Minimize service account annotation requirements; Support tools like Skopeo that use DOCKER_CONFIG environment variable,"Section 'Configuring container registry authentication using workspaces', lines 3005-3089. Shows creating secret from config.json, defining dockerconfig workspace, setting DOCKER_CONFIG=$(workspaces.dockerconfig.path), running with --workspace name=dockerconfig,secret=my-registry-credentials"
secure-limit-secret-workspace-step,secure,,Limiting a secret to particular steps using workspaces,3095,3134,"When I need to restrict credential access within a task, I want to limit workspace-bound secrets to specific steps, so I can minimize credential exposure to only the steps that require authentication",core,Security engineer,Secure,user_story,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",Understand workspace configuration in tasks and steps; Define workspace in task spec,Configure step-level security contexts; Apply principle of least privilege,Minimize credential exposure to unnecessary steps; Ensure only authenticated steps access secrets; Reduce attack surface within multi-step tasks,"Section 'Limiting a secret to particular steps using workspaces', lines 3095-3134. Shows defining workspace in both task spec and specific step spec, notes steps without workspace definition cannot access credentials"
secure-buildah-nonroot,secure,,Building of container images using Buildah as a non-root user,3137,3207,"When I need to build container images in pipelines, I want to run Buildah as a non-root user, so I can reduce security exposure from container processes and prevent potential host access from malicious resources",core,Security engineer,Secure,main_job,,Understand security context constraints; Have buildah task available,Configure custom service accounts; Define security context constraints; Build images in pipelines,Minimize security exposure from root-level container processes; Reduce risk of container escape attacks; Enable unprivileged image builds,"Section 'Building of container images using Buildah as a non-root user', lines 3137-3207. Abstract states: 'Running OpenShift Pipelines as the root user on a container can expose the container processes and the host to other potentially malicious resources. You can reduce this type of exposure by running the workload as a specific non-root user'"
secure-buildah-user-namespaces,secure,,Running Buildah as a non-root user by configuring user namespaces,3214,3284,"When I need the simplest approach to non-root Buildah builds, I want to configure user namespaces with annotations, so I can enable unprivileged builds without custom service accounts or SCCs",core,DevOps engineer,Secure,user_story,"When I need to build container images in pipelines, I want to run Buildah as a non-root user, so I can reduce security exposure from container processes and prevent potential host access from malicious resources",Have buildah task in openshift-pipelines namespace; Know how to edit Kubernetes resources,Copy buildah task to custom task; Configure stepTemplate with security context,Minimize configuration complexity for non-root builds; Enable automatic user namespace mapping; Reduce need for custom SCCs,"Section 'Running Buildah as a non-root user by configuring user namespaces', lines 3214-3284. Shows annotation 'io.kubernetes.cri-o.userns-mode: auto:size=65536;map-to-root=true' and stepTemplate with runAsNonRoot: true, runAsUser: 1000, capabilities add SETFCAP"
secure-buildah-sa-scc,secure,,Running Buildah as a non-root user by defining a custom SA and SCC,3293,3304,"When user namespace configuration doesn't work for my images, I want to define custom service account and security context constraint for Buildah, so I can enable non-root builds with explicit privilege controls",core,Security engineer,Secure,user_story,"When I need to build container images in pipelines, I want to run Buildah as a non-root user, so I can reduce security exposure from container processes and prevent potential host access from malicious resources",Understand security context constraints; Know how to create cluster roles and role bindings,Configure Buildah to use build user; Start task run with custom config,Enable non-root builds for images that fail with user namespaces; Maintain explicit control over privilege escalation settings; Support builds requiring specific user IDs,"Section 'Running Buildah as a non-root user by defining a custom SA and SCC', lines 3293-3304. Concept states this approach requires allowPrivilegeEscalation: true but gives more control"
secure-custom-sa-scc,secure,,Configuring custom service account and security context constraint,3312,3408,"When I need explicit privilege controls for Buildah, I want to create custom service account and SCC with specific user ID restrictions, so I can reduce dependency on default pipeline SA while enabling required capabilities",core,Security engineer,Secure,user_story,"When I need to build container images in pipelines, I want to run Buildah as a non-root user, so I can reduce security exposure from container processes and prevent potential host access from malicious resources",Understand SCCs and cluster roles; Have cluster admin permissions,Configure Buildah task to use build user; Bind SCC to service account via role binding,Minimize dependency on default pipeline service account; Ensure pods run as specific non-root user ID 1000; Enable SETUID and SETGID capabilities for Buildah,"Section 'Configuring custom service account and security context constraint', lines 3312-3408. Shows creating pipelines-sa-userid-1000 SA, pipelines-scc-userid-1000 SCC with allowPrivilegeEscalation: true, runAsUser uid: 1000, ClusterRole, and RoleBinding"
secure-buildah-build-user,secure,,Configuring Buildah to use build user,3416,3526,"When I have custom SA and SCC configured, I want to modify the Buildah task to run as user ID 1000, so I can execute image builds with the build user and proper volume mounts",core,DevOps engineer,Secure,user_story,"When I need to build container images in pipelines, I want to run Buildah as a non-root user, so I can reduce security exposure from container processes and prevent potential host access from malicious resources",Have custom SA and SCC created; Copy buildah task to buildah-as-user,Configure custom service account and SCC; Start task run with custom config,Ensure Buildah runs as build user with ID 1000; Mount storage to correct user home directory; Confirm task execution as non-root via logging,"Section 'Configuring Buildah to use build user', lines 3416-3526. Shows modifying buildah task with securityContext runAsUser: 1000, echo command to display user ID, volumeMount path /home/build/.local/share/containers"
secure-taskrun-custom-config,secure,,"Starting a task run with custom config map, or a pipeline run",3534,3668,"When I have configured the custom Buildah task, I want to create TaskRun or PipelineRun with the custom service account, so I can execute image builds as user ID 1000 with proper authentication",core,DevOps engineer,Secure,user_story,"When I need to build container images in pipelines, I want to run Buildah as a non-root user, so I can reduce security exposure from container processes and prevent potential host access from malicious resources",Have buildah-as-user task created; Have custom SA pipelines-sa-userid-1000 available,Configure Buildah to use build user; Create Dockerfile in ConfigMap; Use git-clone task to fetch sources,Execute Buildah builds with custom service account; Enable integration with pipeline workflows; Support both standalone TaskRun and PipelineRun execution,"Section 'Starting a task run with custom config map, or a pipeline run', lines 3534-3668. Shows TaskRun with serviceAccountName: pipelines-sa-userid-1000, taskRef buildah-as-user; PipelineRun with taskServiceAccountName: pipelines-sa-userid-1000 for buildah task"
secure-unprivileged-build-limits,secure,,Limitations of unprivileged builds,3676,3691,"When I encounter build failures with unprivileged Buildah, I want to understand known limitations, so I can determine if the issue is due to lack of permissions or other factors",core,DevOps engineer,Troubleshoot,user_story,"When I need to build container images in pipelines, I want to run Buildah as a non-root user, so I can reduce security exposure from container processes and prevent potential host access from malicious resources",Attempt unprivileged Buildah build,Resolve mount=type=cache permission issues; Work around mount=type=secret failures,Minimize time diagnosing unprivileged build failures; Understand which Dockerfile features require additional capabilities; Identify workarounds for unsupported mount options,"Section 'Limitations of unprivileged builds', lines 3676-3691. Lists known limitations: --mount=type=cache may fail due to permissions, --mount=type=secret fails due to lack of mounting capabilities"
secure-buildah-ns-task,secure,,Using buildah-ns Tekton task,3700,3772,"When I need to build OCI images with enhanced security, I want to use the buildah-ns task with user namespace isolation, so I can improve container isolation at the kernel level without requiring container runtime daemons",core,Security engineer,Secure,main_job,,Understand user namespace concepts; Have buildah-ns task available,Build images with standard buildah task; Configure user namespace annotations,Minimize impact of container escape vulnerabilities; Ensure kernel-level isolation between containers; Reduce privilege exposure through UID mapping,"Section 'Using buildah-ns Tekton task', lines 3700-3772. Abstract states: 'The buildah-ns Tekton task builds Open Container Initiative (OCI) images without requiring a container runtime daemon...uses buildah and applies user namespace isolation to provide enhanced security'"
secure-buildah-buildah-ns-diff,secure,,Differences between buildah and buildah-ns tasks,3779,3797,"When I need to choose between buildah tasks, I want to understand the differences between buildah and buildah-ns, so I can select the task with appropriate security model for my requirements",core,Security engineer,Plan,user_story,"When I need to build OCI images with enhanced security, I want to use the buildah-ns task with user namespace isolation, so I can improve container isolation at the kernel level without requiring container runtime daemons",Understand buildah task features; Know security requirements,Understand buildah-ns security model; Configure annotations for user namespaces,Minimize time evaluating security trade-offs; Understand automatic user namespace mapping; Choose appropriate task for security needs,"Section 'Differences between buildah and buildah-ns tasks', lines 3779-3797. Lists key differences: task name buildah-ns, annotations 'io.kubernetes.cri-o.userns-mode: auto' and 'io.openshift.builder: true', user namespace separation"
secure-buildah-ns-security-model,secure,,Security model of the buildah-ns task,3804,3825,"When I use buildah-ns for image builds, I want to understand the user namespace isolation security model, so I can verify how UID mapping provides kernel-level isolation and reduced privilege exposure",core,Security engineer,Secure,user_story,"When I need to build OCI images with enhanced security, I want to use the buildah-ns task with user namespace isolation, so I can improve container isolation at the kernel level without requiring container runtime daemons",Understand user namespace concepts; Know UID mapping principles,Configure buildah-ns task; Understand container escape protection,Ensure processes appear as root inside container but non-root on host; Minimize kernel-level privilege exposure; Reduce impact of container escape vulnerabilities,"Section 'Security model of the buildah-ns task', lines 3804-3825. States: 'Inside the container: Processes run as UID 0, which appears as the root user. Outside the container: The same processes run as a nonzero UID on the host system.' Lists advantages: kernel-level isolation, reduced privilege exposure, container escape protection"
secure-buildah-ns-params,secure,,"Workspaces, parameters, and results for the buildah-ns task",3832,3915,"When I configure buildah-ns task execution, I want to understand required workspaces, parameters, and results, so I can provide correct inputs and retrieve build outputs",core,DevOps engineer,Configure,user_story,"When I need to build OCI images with enhanced security, I want to use the buildah-ns task with user namespace isolation, so I can improve container isolation at the kernel level without requiring container runtime daemons",Have source workspace with Containerfile or Dockerfile; Know target image name and tag,Create PipelineRun for buildah-ns; Configure TLS verification settings; Set storage driver,Minimize configuration errors; Understand required vs optional parameters; Retrieve fully qualified image name and digest after build,"Section 'Workspaces, parameters, and results for the buildah-ns task', lines 3832-3915. Documents source workspace, IMAGE parameter (required), CONTAINERFILE_PATH, TLS_VERIFY, VERBOSE, SUBDIRECTORY, STORAGE_DRIVER, BUILD_EXTRA_ARGS, PUSH_EXTRA_ARGS, SKIP_PUSH parameters; IMAGE_URL and IMAGE_DIGEST results"
secure-running-buildah-ns,secure,,Running the buildah-ns task,3922,3972,"When I need to execute a buildah-ns image build, I want to create a PipelineRun with appropriate parameters and workspace bindings, so I can build images with user namespace security",core,DevOps engineer,Deploy,user_story,"When I need to build OCI images with enhanced security, I want to use the buildah-ns task with user namespace isolation, so I can improve container isolation at the kernel level without requiring container runtime daemons",Have PersistentVolumeClaim with source code; Have registry credentials if pushing to protected registry,Configure Kubernetes secret for registry access; Link secret to service account; Set IMAGE and TLS_VERIFY parameters,Execute buildah-ns task successfully; Enable authenticated registry push if required; Minimize manual configuration per build,"Section 'Running the buildah-ns task', lines 3922-3972. Shows PipelineRun YAML with pipelineRef task-buildah-ns, IMAGE and TLS_VERIFY params, workspace with PVC, note about registry authentication via secret"
