job_number,source_book,book_title,job_statement,job_type,persona,job_map_stage,granularity,parent_job,prerequisites,related_jobs,desired_outcomes,section,evidence,notes,doc
73,install_config,Installing and configuring,"As a Cluster administrator, when I need to prepare for Pipelines Operator uninstallation, I want to delete custom resources in the correct order (TektonHub, TektonResult, then TektonConfig), so I can avoid orphaning optional components that cannot be removed later.",consumption,Cluster administrator,Conclude,user_story,"When I need to fully remove OpenShift Pipelines from my cluster, I want to cleanly uninstall all components and custom resources, so I can ensure no residual configuration or resources remain that could interfere with future installations or cluster operations.",Have cluster administrator access to web console | Understand which optional components are installed,Verify no critical pipelines are running | Export pipeline definitions if needed for backup,Ensure optional components are fully removed before operator deletion | Minimize risk of leaving orphaned TektonHub or TektonResult instances | Complete CR deletion with correct sequencing in minimal time,Deleting the OpenShift Pipelines custom resources,"install_config-combined.adoc, lines 361-392: Procedure states 'You can remove the Pipelines custom resources (CRs) to clean up the configuration before uninstalling the Operator. This involves deleting optional components such as TektonHub and TektonResult, followed by the main TektonConfig CR.' Lines 384-392 include CAUTION: 'Deleting the CRs also deletes the Pipelines components and all the tasks and pipelines on the cluster.' and IMPORTANT: 'If you uninstall the Operator without removing the TektonHub and TektonResult CRs, you cannot remove the Tekton Hub and Tekton Results components later.'",Web console approach for CR deletion. Critical sequencing requirement. Documentation provides strong warnings about consequences of skipping this step.,install_config-combined.adoc
74,install_config,Installing and configuring,"As a Cluster administrator, when I have deleted all custom resources, I want to uninstall the Pipelines Operator through the web console, so I can remove the operator subscription and all operand instances from my cluster.",consumption,Cluster administrator,Conclude,user_story,"When I need to fully remove OpenShift Pipelines from my cluster, I want to cleanly uninstall all components and custom resources, so I can ensure no residual configuration or resources remain that could interfere with future installations or cluster operations.","Delete all custom resources (TektonHub, TektonResult, TektonConfig) | Have cluster administrator access",Back up secrets from openshift-pipelines namespace if needed,Remove operator and all operand instances in single operation | Ensure all resources in openshift-pipelines namespace are deleted | Minimize manual cleanup steps after operator removal,Uninstalling the Red Hat OpenShift Pipelines Operator,"install_config-combined.adoc, lines 402-421: Procedure states 'You can uninstall the Pipelines Operator by using the OCP web console to remove the Pipelines service from your cluster. This process involves deleting the Operator subscription and its associated operand instances.' Lines 416-421 include WARNING: 'When you uninstall the Pipelines Operator, the uninstallation process deletes all resources within the openshift-pipelines target namespace where Pipelines is installed, including the secrets you configured.'",Web console approach using OperatorHub. Requires prior CR deletion. Warning about namespace-wide deletion including secrets highlights need for backup planning.,install_config-combined.adoc
75,install_config,Installing and configuring,"As a Cluster administrator, when I have uninstalled the Pipelines Operator, I want to delete all operator.tekton.dev CRDs, so I can ensure complete removal of all Pipelines traces and prevent conflicts with future installations.",consumption,Cluster administrator,Conclude,user_story,"When I need to fully remove OpenShift Pipelines from my cluster, I want to cleanly uninstall all components and custom resources, so I can ensure no residual configuration or resources remain that could interfere with future installations or cluster operations.",Uninstall the Pipelines Operator | Delete all custom resources,Verify no other operators depend on these CRDs,Remove all residual CRD definitions created during installation | Ensure clean slate for potential future Pipelines installation | Minimize time to identify and delete all operator.tekton.dev CRDs,Deleting the custom resource definitions of the operator.tekton.dev group,"install_config-combined.adoc, lines 431-449: Procedure states 'You can delete the operator.tekton.dev custom resource definitions (CRDs) to fully remove all Pipelines traces from your cluster. This step ensures that no residual definitions remain after the Operator uninstallation.' Line 437: 'Delete the CustomResourceDefinitions of the operator.tekton.dev group. The Pipelines Operator creates these CRDs by default during installation.'",Final cleanup step. Web console approach using CRD filtering. CRDs are created automatically during installation and must be manually deleted during complete removal.,install_config-combined.adoc
76,install_config,Installing and configuring,"When managing high-volume pipeline workloads, I want to optimize controller performance with HA mode and resource allocation, so I can reduce delays and handle peak loads without bottlenecks",core,Cluster administrator,Configure,main_job,,Install OpenShift Pipelines Operator,Configure pipeline control plane | Monitor pipeline performance,Minimize time for task runs to start under high load | Reduce likelihood of controller bottlenecks during peak operations | Ensure controller operations scale across multiple replicas | Optimize API query throughput to cluster control plane,Performance tuning using the TektonConfig custom resource,"install_config-combined.adoc -> Performance tuning using the TektonConfig custom resource, lines 541-613. Key quotes: 'You can tune the performance and high availability (HA) of the {pipelines-shortname} controller by editing the TektonConfig custom resource', 'Without HA mode, a single pod executes these operations, potentially creating significant delays under a high load', 'In HA mode, {pipelines-shortname} uses several pods (replicas) to run these operations'","Main job for performance optimization. Covers HA mode, bucket configuration, replica counts, API query limits. Multiple user stories for different tuning scenarios.",install_config-combined.adoc
77,install_config,Installing and configuring,"When I need to scale pipeline operations, I want to enable high-availability mode with multiple controller replicas, so I can distribute workload across pods and avoid single-point-of-failure delays",core,Platform engineer,Configure,user_story,Optimize controller performance with HA mode and resource allocation,Install OpenShift Pipelines Operator | Understand bucket and replica relationship,,Minimize controller operation delays under high load | Ensure controller operations are distributed across replicas | Reduce likelihood of single controller becoming a bottleneck,Performance tuning using the TektonConfig custom resource,"install_config-combined.adoc -> Performance tuning, lines 556-597. Key quotes: 'disable-ha: false', 'buckets: 7', 'replicas: 5', 'In HA mode, {pipelines-shortname} uses several pods (replicas) to run these operations'",User story for enabling HA mode specifically. Implementation-specific configuration via TektonConfig CR.,install_config-combined.adoc
78,install_config,Installing and configuring,"When deploying pipelines in production environments, I want to configure control plane settings like sidecar behavior and metrics collection, so I can tailor pipeline execution to my cluster's characteristics",core,Cluster administrator,Configure,main_job,,Install OpenShift Pipelines | Access to TektonConfig CR,Change default service account | Configure pipeline resolvers | Disable service monitor,Minimize task run startup time in non-sidecar environments | Ensure metrics accurately reflect pipeline performance | Reduce resource consumption for unnecessary features | Customize pipeline behavior to match operational needs,Configuring the pipelines control plane,"install_config-combined.adoc -> Configuring the {pipelines-title} control plane, lines 621-668. Key quotes: 'You can configure the {pipelines-shortname} control plane to suit your operational needs by editing the TektonConfig custom resource', 'Customize settings such as metrics collection, sidecar injection, and service account defaults'","Main job covering control plane configuration. Multiple user stories for specific settings like sidecars, metrics, service accounts, API fields.",install_config-combined.adoc
79,install_config,Installing and configuring,"When running pipelines in clusters without injected sidecars, I want to disable sidecar readiness checks, so I can reduce task run startup delays",core,Platform engineer,Configure,user_story,Configure control plane settings like sidecar behavior and metrics collection,Understand cluster sidecar injection status | Access to TektonConfig CR,,Minimize time for task runs to start | Avoid unnecessary waiting for sidecars that don't exist | Ensure pipelines work in non-Istio clusters,Modifiable fields with default values,"install_config-combined.adoc -> Modifiable fields with default values, lines 686-693. Key quotes: 'Set this field to false if pipelines run in a cluster that does not use injected sidecars, such as Istio. Setting it to false decreases the time a pipeline takes for a task run to start'",User story for sidecar configuration optimization. Environment-specific tuning.,install_config-combined.adoc
80,install_config,Installing and configuring,"When enforcing security policies across pipelines, I want to change the default service account used by task and pipeline runs, so I can align with organizational RBAC requirements",core,Cluster administrator,Secure,main_job,,Create custom service account with appropriate permissions | Install OpenShift Pipelines,Configure RBAC resources | Disable automatic RBAC creation,Ensure all pipeline runs use approved service accounts | Reduce likelihood of privilege escalation | Minimize manual service account specification per run | Align pipeline execution with security policies,Changing the default service account for OpenShift Pipelines,"install_config-combined.adoc -> Changing the default service account, lines 764-784. Key quotes: 'You can change the default service account used by {pipelines-shortname} for task and pipeline runs to meet your security or operational requirements', 'default-service-account: pipeline'",Main job for service account management. Security-focused configuration.,install_config-combined.adoc
81,install_config,Installing and configuring,"When managing clusters with large numbers of pipeline runs, I want to configure a longer resync period for the controller, so I can reduce resource consumption from frequent full reconciliations",core,Platform engineer,Configure,user_story,Configure control plane settings like sidecar behavior and metrics collection,Install OpenShift Pipelines | Understand cluster resource constraints | Monitor controller resource usage,Optimize controller performance with HA mode,Minimize resource consumption from controller reconciliation | Reduce CPU and memory usage on control plane | Ensure reconciliation period matches cluster scale,Setting the resync period for the pipelines controller,"install_config-combined.adoc -> Setting the resync period, lines 827-862. Key quotes: 'If you have a large number of pipeline runs and task runs, a full reconciliation every 10 hours might consume too many resources. In this case, you can configure a longer resync period', 'resync-period=24h'",User story for resync period optimization. Performance tuning for large-scale deployments.,install_config-combined.adoc
82,install_config,Installing and configuring,"When managing how pipelines fetch remote resources, I want to enable or disable specific resolvers and configure their behavior, so I can control resource resolution methods and security policies",core,Cluster administrator,Configure,main_job,,Install OpenShift Pipelines | Understand resolver types and their security implications,Disable pipeline templates | Configure Tekton Hub integration | Migrate to Artifact Hub,Ensure only approved resolver types are available | Minimize security risks from unauthorized remote resources | Configure resolver-specific settings per organizational policy | Reduce complexity by disabling unused resolvers,Configuring pipeline resolvers,"install_config-combined.adoc -> Configuring pipeline resolvers, lines 903-949. Key quotes: 'You can enable or disable specific pipeline resolvers, such as git, cluster, bundle, and hub resolvers, to control how your pipelines fetch resources', 'enable-bundles-resolver', 'enable-cluster-resolver', 'enable-git-resolver', 'enable-hub-resolver'",Main job for resolver configuration. Security and resource management focus. Multiple user stories for different resolvers.,install_config-combined.adoc
83,install_config,Installing and configuring,"When customizing cluster initial state, I want to disable automatic installation of resolver tasks and pipeline templates, so I can prevent deployment of default resources my environment doesn't require",core,Cluster administrator,Configure,user_story,Enable or disable specific resolvers and configure their behavior,Install OpenShift Pipelines Operator | Decide on required default resources,Configure pipeline resolvers,Minimize unnecessary resource installation | Ensure clean cluster state matching organizational standards | Reduce clutter from unused templates,Disabling resolver tasks and pipeline templates,"install_config-combined.adoc -> Disabling resolver tasks and pipeline templates, lines 958-999. Key quotes: 'You can disable the automatic installation of resolver tasks and pipeline templates to customize your cluster initial state', 'resolverTasks', 'pipelineTemplates', 'You can set the value of the pipelinesTemplates parameter to true only when the value of the resolverTasks parameter is true'",User story for disabling default resources. Customization-focused configuration.,install_config-combined.adoc
84,install_config,Installing and configuring,"When Tekton Hub deprecation affects my pipelines, I want to migrate to Artifact Hub as the catalog source, so I can ensure uninterrupted catalog resolution and continue using prebuilt tasks",core,Platform engineer,Migrate,main_job,,Identify resources using Tekton Hub | Understand Artifact Hub catalog structure | Access to pipeline resource definitions,Configure pipeline resolvers | Assess migration impact,Ensure zero disruption to pipeline execution during migration | Minimize manual changes required across resources | Reduce likelihood of catalog resolution failures | Verify all Tekton resources use supported catalog,Migrating from Tekton Hub to Artifact Hub,"install_config-combined.adoc -> Migrating from Tekton Hub to Artifact Hub, lines 1065-1189. Key quotes: 'Red Hat deprecated this service. Use _Artifact Hub_, a centralized catalog for Tekton resources, instead', 'The hub resolver now defaults to the artifact type', 'You can update existing Tekton resources to use {artifact-hub} instead of the deprecated {tekton-hub}'",Main job for Tekton Hub to Artifact Hub migration. Migration-focused with assessment and execution sub-tasks.,install_config-combined.adoc
85,install_config,Installing and configuring,"When planning Tekton Hub to Artifact Hub migration, I want to identify which resources require modification, so I can scope the migration effort and avoid breaking pipelines",related,Platform engineer,Migrate,user_story,Migrate to Artifact Hub as the catalog source,Access to pipeline resource files | Cluster access for hub resolver config check,,Identify all resources needing migration | Verify current hub resolver configuration | Minimize risk of missing resources during migration | Understand migration scope before starting,Assess migration impact,"install_config-combined.adoc -> Assess migration impact, lines 1085-1126. Key quotes: 'You must migrate if: Your Tekton resources reference type: tekton or catalog: Tekton', 'Use the following scripts to identify which Tekton resources require modification and to verify the hub resolver configuration on your cluster'",User story for migration assessment. Pre-migration planning activity using provided scripts.,install_config-combined.adoc
86,install_config,Installing and configuring,"When managing cluster resources over time, I want to automatically remove completed TaskRun and PipelineRun objects, so I can prevent resource exhaustion and maintain optimal cluster performance.",core,Cluster administrator,Operate,main_job,,Install OpenShift Pipelines Operator | Have cluster-admin privileges,Monitor cluster resource usage | Configure namespace-specific policies,Minimize cluster resource consumption from stale objects | Reduce storage costs from unused pipeline runs | Prevent performance degradation from excessive API objects | Ensure automatic cleanup without manual intervention,Automatic pruning of task runs and pipeline runs,install_config-combined.adoc -> Automatic pruning of task runs and pipeline runs (lines 1426-1436): 'You can automatically prune stale TaskRun and PipelineRun resources to free up cluster resources. Pipelines provides a configurable pruner that removes unused objects based on your policies.',Core operational job for lifecycle management. Two implementation approaches: scheduled (cron-based) and event-driven (real-time).,install_config-combined.adoc
87,install_config,Installing and configuring,"When I need scheduled cleanup of pipeline resources, I want to configure time-based or count-based retention policies in TektonConfig, so I can maintain a predictable number of recent runs while automatically removing older resources.",core,Platform engineer,Configure,user_story,Automatically remove completed TaskRun and PipelineRun objects,Have TektonConfig access | Understand retention requirements,Configure namespace-specific overrides via annotations,Minimize configuration complexity | Ensure retention policies match business requirements | Reduce likelihood of accidentally deleting needed resources | Maintain audit compliance with keep-since settings,Configuring the pruner,"install_config-combined.adoc -> Configuring the pruner (lines 1446-1506): Example shows schedule (cron), keep (count), keep-since (time-based), and prune-per-resource settings. 'The default schedule runs the process at 08:00 every day.' 'If you set keep to 100, then the pruner keeps 100 most recent task runs and 100 most recent pipeline runs.'",User story for scheduled/cron-based pruning approach. Alternative to event-driven approach.,install_config-combined.adoc
88,install_config,Installing and configuring,"When different projects have different retention needs, I want to override global pruning policies per namespace using annotations, so I can customize cleanup behavior without modifying cluster-wide configuration.",related,Platform engineer,Configure,user_story,Automatically remove completed TaskRun and PipelineRun objects,Configure global pruner settings | Have namespace annotation permissions,,Minimize blast radius of configuration changes | Ensure namespace teams control their own retention | Reduce need for cluster-admin intervention,Annotations for automatically pruning task runs and pipeline runs,install_config-combined.adoc -> Annotations for automatically pruning task runs and pipeline runs (lines 1516-1554): 'You can customize the pruning behavior for specific namespaces by applying annotations to the Namespace resource. These annotations allow you to override global pruning settings.' Lists operator.tekton.dev/prune.* annotations and example with keep-since: 7200.,Namespace-level override pattern for scheduled pruner.,install_config-combined.adoc
89,install_config,Installing and configuring,"When I need near real-time cleanup instead of scheduled batches, I want to enable the event-based pruner controller, so I can delete completed runs immediately after they finish without waiting for cron schedules.",core,SRE,Configure,user_story,Automatically remove completed TaskRun and PipelineRun objects,Disable job-based pruner | Have TektonConfig modification access,Configure TTL or history limits for event pruner,Minimize delay between completion and cleanup | Reduce cluster resource spikes from batch pruning | Ensure pruner types do not conflict,Enabling the event-driven pruner,install_config-combined.adoc -> Enabling the event-driven pruner (lines 1563-1643): 'You can enable the event-based pruner to delete completed PipelineRun and TaskRun resources in near real-time.' 'You must disable the job-based pruner in the TektonConfig CR before you enable the event-driven pruner.' Example shows spec.pruner.disabled: true and spec.tektonpruner.disabled: false.,User story for event-driven pruning approach. Mutually exclusive with scheduled pruner. More immediate cleanup.,install_config-combined.adoc
90,install_config,Installing and configuring,"When using event-driven pruning, I want to define TTL-based or history-based retention rules at global or namespace level, so I can control how long resources persist after completion or how many recent runs to retain.",core,Platform engineer,Configure,user_story,Automatically remove completed TaskRun and PipelineRun objects,Enable event-driven pruner | Understand TTL vs history limit trade-offs,Configure resource-level rules via ConfigMap,Minimize configuration errors between TTL and history settings | Ensure compliance retention periods are met | Reduce storage costs with appropriate TTL values | Maintain audit trail with successfulHistoryLimit and failedHistoryLimit,Configuration of the event-driven pruner,"install_config-combined.adoc -> Configuration of the event-driven pruner (lines 1651-1875): Shows global-config with ttlSecondsAfterFinished, historyLimit, failedHistoryLimit, successfulHistoryLimit. 'You can define pruning rules for individual namespaces by setting enforcedConfigLevel to namespace.' Table shows common TTL values (300s for dev, 86400s for staging, 2592000s for compliance). Includes resource-level ConfigMap approach with selectors.",Event pruner configuration details. More granular than scheduled pruner with global/namespace/resource levels and selector support.,install_config-combined.adoc
91,install_config,Installing and configuring,"When operating the event-driven pruner in production, I want to monitor processing metrics and error rates via OpenTelemetry, so I can troubleshoot pruner issues and plan capacity based on reconciliation times.",related,SRE,Monitor,user_story,Automatically remove completed TaskRun and PipelineRun objects,Enable event-driven pruner | Have Prometheus or observability platform configured,Monitor cluster resource usage | Alert on pruner errors,Minimize mean time to detect pruner failures | Ensure visibility into pruning performance | Reduce troubleshooting time with labeled metrics,Observability metrics of the event-driven pruner,"install_config-combined.adoc -> Observability metrics of the event-driven pruner (lines 1883-1961): 'You can monitor the performance and health of the event-based pruner by using the metrics exposed by the tekton-pruner-controller. These metrics, available in OpenTelemetry format, give insights into resource processing, error rates, and reconciliation times.' Lists metrics: tekton_pruner_controller_resources_processed_total, tekton_pruner_controller_resources_deleted_total, reconciliation_duration_seconds histogram, resources_errors_total, etc.",Observability for event-driven pruner only. No equivalent metrics mentioned for scheduled pruner.,install_config-combined.adoc
92,install_config,Installing and configuring,"When cluster security policies require fine-grained permission control, I want to disable automatic cluster-wide RBAC creation, so I can prevent privileged role bindings and manually manage permissions per namespace.",core,Cluster administrator,Secure,main_job,,Have cluster-admin privileges | Understand pipelines-scc security implications,Manually create namespace-specific RBAC resources | Configure Trusted CA bundle separately,Minimize security risk from RunAsAny SCC privilege | Ensure RBAC resources only exist in approved namespaces | Reduce blast radius of pipeline permissions,Disabling the automatic creation of RBAC resources,"install_config-combined.adoc -> Disabling the automatic creation of RBAC resources (lines 1240-1276): 'You can disable the automatic creation of cluster-wide RBAC resources by using the Pipelines Operator to improve security and control over permissions.' 'Among these RBAC resources, the pipelines-scc-rolebinding security context constraint (SCC) role binding resource is a potential security issue, because the associated pipelines-scc SCC has the RunAsAny privilege.' Set createRbacResource to false.",Security-focused configuration job. Addresses RunAsAny SCC privilege risk.,install_config-combined.adoc
93,install_config,Installing and configuring,"When enforcing supply chain security, I want to disable inline taskSpec and pipelineSpec definitions, so I can require all pipelines and tasks to be referenced from version-controlled resources or resolvers.",core,Security engineer,Secure,main_job,,Have TektonConfig modification access | Establish pipeline and task versioning strategy,Configure Tekton resolvers | Implement pipeline catalog,Minimize risk of unaudited code execution | Ensure all pipeline definitions are version-controlled | Reduce likelihood of configuration drift from inline specs | Enforce compliance with security scanning policies,Disabling inline specification of pipelines and tasks,"install_config-combined.adoc -> Disabling inline specification of pipelines and tasks (lines 1284-1370): 'You can disable the inline specification of tasks and pipelines to enforce the use of referenced resources and improve security.' Shows disable-inline-spec parameter accepting 'pipeline,pipelinerun,taskrun' to prevent taskSpec: and pipelineSpec: usage. 'Instead, you must use a taskRef: spec to incorporate a task from a Task CR or to specify a task using a resolver.'",Supply chain security control. Forces use of taskRef/pipelineRef instead of inline definitions.,install_config-combined.adoc
94,install_config,Installing and configuring,"When customizing admission control behavior, I want to configure webhook failure policies and timeouts in TektonConfig, so I can control how Kubernetes handles webhook failures and prevent pipeline submission delays.",core,Platform engineer,Configure,main_job,,Understand webhook types (mutating vs validating) | Have TektonConfig modification access,Monitor webhook latency | Troubleshoot webhook timeout errors,Minimize pipeline submission failures from webhook timeouts | Ensure appropriate failure policy for production stability | Reduce API server load from slow webhooks,Setting additional options for webhooks,"install_config-combined.adoc -> Setting additional options for webhooks (lines 1969-2118): 'You can configure advanced webhook options, such as failure policies and timeouts, for Pipelines controllers to improve stability and error handling.' Shows webhookConfigurationOptions with failurePolicy, timeoutSeconds, sideEffects settings for validation.webhook.pipeline.tekton.dev and webhook.pipeline.tekton.dev. Covers pipeline, triggers, pipelinesAsCode, and hub controllers.",Webhook configuration applies to multiple controllers. Cannot configure operator webhooks.,install_config-combined.adoc
95,install_config,Installing and configuring,"When operating in disconnected or private networks, I want to configure a custom Artifact Hub URL in TektonConfig, so I can resolve pipeline resources from an internal registry instead of public artifacthub.io.",consumption,Cluster administrator,Configure,main_job,,Deploy private Artifact Hub instance | Configure network connectivity from resolver pods | Configure TLS certificates for HTTPS,Configure authentication for private hub | Mirror pipeline catalog to private hub,Minimize dependency on external network connectivity | Ensure resolver pods can access pipeline resources | Reduce catalog lookup latency,Configuring custom Artifact Hub endpoint for disconnected environments,"install_config-combined.adoc -> Configuring custom Artifact Hub endpoint (lines 1201-1231): 'For disconnected or private environments, configure a custom Artifact Hub endpoint.' Shows hub-resolver-config with default-artifact-hub-url. Important note: 'When using a private Artifact Hub: Verify network connectivity from the resolver pods. Configure TLS certificates for HTTPS endpoints. Configure authentication, if required. Ensure catalog names match those published in your private hub.'",Consumption-chain job for disconnected/air-gapped environments. Requires private Artifact Hub deployment.,install_config-combined.adoc
96,resource,Managing performance and resource use,"When running many concurrent pipelines, I want to optimize controller performance, so I can reduce failures and minimize execution delays.",core,Platform Engineer,Operate,main_job,,Install OpenShift Pipelines,Monitor cluster resource usage | Set compute resource quotas,Minimize pipeline execution time | Reduce likelihood of pipeline failures | Ensure adequate cluster resources for concurrent pipeline runs,Managing OpenShift Pipelines performance,"resource-combined.adoc -> Managing OpenShift Pipelines performance, lines 1-46",Main job covering performance optimization for high-volume pipeline environments,resource-combined.adoc
97,resource,Managing performance and resource use,"When experiencing pipeline slowness or failures, I want to enable high-availability mode for controllers, so I can reduce execution times and pod start delays.",core,Platform Engineer,Configure,user_story,"When running many concurrent pipelines, I want to optimize controller performance, so I can reduce failures and minimize execution delays.",Install OpenShift Pipelines | Have cluster-admin permissions,Monitor node resource usage,Reduce TaskRun pod creation latency | Minimize pipeline execution time | Ensure controller high availability,Improving OpenShift Pipelines performance,"resource-combined.adoc -> Improving OpenShift Pipelines performance, lines 29-46",User story for enabling HA mode via TektonConfig CR to improve performance,resource-combined.adoc
98,resource,Managing performance and resource use,"When cluster nodes are resource-constrained, I want to increase the number of nodes, so I can prevent resource exhaustion and pipeline failures.",core,Platform Engineer,Operate,user_story,"When running many concurrent pipelines, I want to optimize controller performance, so I can reduce failures and minimize execution delays.",Monitor cluster resource usage,Scale cluster infrastructure,Reduce likelihood of resource contention | Ensure adequate CPU and memory for pipelines,Improving OpenShift Pipelines performance,"resource-combined.adoc -> Improving OpenShift Pipelines performance, lines 34-37",User story for horizontal scaling via adding nodes,resource-combined.adoc
99,resource,Managing performance and resource use,"When operating in a multitenant environment, I want to control resource consumption per namespace, so I can prevent any one application from consuming excessive resources.",core,Cluster Administrator,Configure,main_job,,Install OpenShift Pipelines | Create namespaces,Set resource quotas | Configure limit ranges,Minimize impact on other applications | Ensure fair resource distribution across tenants | Prevent resource exhaustion,Reducing resource consumption of OpenShift Pipelines,"resource-combined.adoc -> Reducing resource consumption of OpenShift Pipelines, lines 54-72",Main job for resource governance in multitenant clusters,resource-combined.adoc
100,resource,Managing performance and resource use,"When defining tasks, I want to understand how step resource requests affect pod scheduling, so I can configure appropriate limits and avoid quota errors.",core,Pipeline Developer,Develop,user_story,"When operating in a multitenant environment, I want to control resource consumption per namespace, so I can prevent any one application from consuming excessive resources.",Understand task and step structure,Configure limit ranges | Set resource quotas,Ensure tasks meet minimum resource requirements | Avoid pod scheduling failures,Understanding resource consumption in pipelines,"resource-combined.adoc -> Understanding resource consumption in pipelines, lines 78-128",User story covering understanding of resource consumption patterns and LimitRange effects,resource-combined.adoc
101,resource,Managing performance and resource use,"When tasks have many steps, I want to reduce step count or distribute steps across tasks, so I can minimize total resource requests and avoid unschedulable pods.",core,Pipeline Developer,Develop,user_story,"When operating in a multitenant environment, I want to control resource consumption per namespace, so I can prevent any one application from consuming excessive resources.",Understand resource request aggregation behavior,Configure limit ranges,Minimize total memory requests for task pods | Reduce likelihood of quota exhaustion | Ensure pods are schedulable,Mitigating extra resource consumption in pipelines,"resource-combined.adoc -> Mitigating extra resource consumption in pipelines, lines 134-177",User story for reducing resource consumption through task design optimization,resource-combined.adoc
102,resource,Managing performance and resource use,"When using referenced tasks from bundles or shared pipelines, I want to override step-level resources in the PipelineRun, so I can allocate more CPU or memory without modifying the original task definition.",core,Pipeline Developer,Configure,main_job,,Install OpenShift Pipelines,Use Tekton bundles | Configure Pipelines as Code,Prevent task step failures due to insufficient resources | Avoid modifying shared pipeline definitions | Ensure precise resource allocation for specific steps,Override step level compute resources in a PipelineRun,"resource-combined.adoc -> Override step level compute resources in a PipelineRun, lines 185-211",Main job for runtime resource customization without modifying task definitions,resource-combined.adoc
103,resource,Managing performance and resource use,"When a task step fails due to insufficient resources, I want to set compute resources using taskRunSpecs in the PipelineRun, so I can allocate adequate memory and CPU for that specific step.",core,Pipeline Developer,Configure,user_story,"When using referenced tasks from bundles or shared pipelines, I want to override step-level resources in the PipelineRun, so I can allocate more CPU or memory without modifying the original task definition.",Identify failing task step | Have permission to modify PipelineRun definitions,Monitor task execution logs,Ensure step completes successfully | Minimize resource over-allocation,Setting compute resources for a task step,"resource-combined.adoc -> Setting compute resources for a task step, lines 216-293",User story for setting step-level resource overrides via PipelineRun taskRunSpecs,resource-combined.adoc
104,resource,Managing performance and resource use,"When managing pipeline workloads, I want to set compute resource quotas for pipelines rather than entire namespaces, so I can control resource consumption at the pipeline level.",core,Cluster Administrator,Configure,main_job,,Install OpenShift Pipelines,Set resource quotas per namespace | Configure limit ranges,Minimize resource consumption by pipeline workloads | Ensure fair resource allocation across pipelines | Prevent pipeline pods from exceeding quotas,Setting compute resource quota for OpenShift Pipelines,"resource-combined.adoc -> Setting compute resource quota for OpenShift Pipelines, lines 306-318",Main job for pipeline-level quota management; currently not directly supported,resource-combined.adoc
105,resource,Managing performance and resource use,"When direct pipeline-level quotas are not available, I want to use alternative approaches like step-level limits or priority classes, so I can achieve some control over resource consumption.",core,Cluster Administrator,Configure,user_story,"When managing pipeline workloads, I want to set compute resource quotas for pipelines rather than entire namespaces, so I can control resource consumption at the pipeline level.",Understand ResourceQuota and LimitRange,Reduce pipeline resource consumption | Set namespace quotas,Control total resources consumed by pipeline pods | Ensure pipelines do not exceed available resources,Alternative approaches for limiting compute resource consumption in OpenShift Pipelines,"resource-combined.adoc -> Alternative approaches for limiting compute resource consumption in OpenShift Pipelines, lines 321-367",User story covering workarounds for pipeline-level quota management,resource-combined.adoc
106,resource,Managing performance and resource use,"When I need pipeline-level resource control, I want to create a priority class and configure resource quotas based on pod priority, so I can limit resources for specific pipeline workloads.",core,Cluster Administrator,Configure,user_story,"When managing pipeline workloads, I want to set compute resource quotas for pipelines rather than entire namespaces, so I can control resource consumption at the pipeline level.",Understand PriorityClass and ResourceQuota,Set limit ranges | Configure task resource requests,Control combined resource quota for pipeline pods | Ensure pipeline workloads stay within defined limits | Manage resource allocation by priority,Specifying pipelines resource quota using priority class,"resource-combined.adoc -> Specifying pipelines resource quota using priority class, lines 383-617",User story for workaround using PriorityClass to achieve pipeline-level quota control,resource-combined.adoc
107,resource,Managing performance and resource use,"When cluster maintenance operations occur, I want to protect critical pipeline workloads from eviction, so I can prevent disruption of non-reentrant tasks.",core,SRE,Operate,main_job,,Install OpenShift Pipelines,Perform cluster maintenance | Schedule node drains,Prevent eviction of running critical workloads | Minimize disruption during cluster upgrades | Ensure non-reentrant tasks complete successfully,Protecting Tekton workload pods from eviction during node drains,"resource-combined.adoc -> Protecting Tekton workload pods from eviction during node drains, lines 627-641",Main job for protecting workloads during voluntary disruptions,resource-combined.adoc
108,resource,Managing performance and resource use,"When I need to protect specific pipeline runs from eviction, I want to use label propagation and PodDisruptionBudget, so I can block node drains while those workloads are running.",core,SRE,Configure,user_story,"When cluster maintenance operations occur, I want to protect critical pipeline workloads from eviction, so I can prevent disruption of non-reentrant tasks.",Identify tasks requiring eviction protection,,Ensure labels propagate from PipelineRun to TaskRun pods | Block voluntary disruptions during task execution,Eviction protection for TaskRun pods,"resource-combined.adoc -> Eviction protection for TaskRun pods, lines 643-663",User story explaining label propagation mechanism for eviction protection,resource-combined.adoc
109,resource,Managing performance and resource use,"When I have critical one-time tasks like backups or deletions, I want to label the PipelineRun and configure a PodDisruptionBudget, so I can prevent eviction during node drains.",core,SRE,Configure,user_story,"When cluster maintenance operations occur, I want to protect critical pipeline workloads from eviction, so I can prevent disruption of non-reentrant tasks.",Install OpenShift Pipelines | Identify critical workloads,Create PodDisruptionBudget resources,Prevent voluntary eviction of protected pods | Ensure critical tasks complete before node drain | Minimize manual intervention during maintenance,Preventing eviction of TaskRun pods during node maintenance,"resource-combined.adoc -> Preventing eviction of TaskRun pods during node maintenance, lines 665-749",User story for configuring PDB and labeling PipelineRuns for eviction protection,resource-combined.adoc
