job_number,source_book,book_title,job_statement,job_type,persona,job_map_stage,granularity,prerequisites,related_jobs,desired_outcomes,section,evidence,notes,doc
45,records,Observability in OpenShift Pipelines,"When I prefer to work with run names rather than result UUIDs, I want to query by PipelineRun and TaskRun names, so I can use familiar identifiers from my workflow.",core,Developer,Observe,main_job,Configure opc utility with results config set,Query by result/record names | List runs by namespace or pipeline,Minimize cognitive overhead of UUID-based queries | Enable queries using familiar run names | Reduce time to find specific runs,Querying results and logs by the names of pipeline runs and task runs,"records-combined.adoc -> Section 'Querying results and logs by the names of pipeline runs and task runs', lines 1005-1029","Technology Preview feature - different opc configuration required, uses run names instead of result UUIDs",records-combined.adoc
46,records,Observability in OpenShift Pipelines,"When managing database storage and compliance, I want to understand how the retention policy agent works, so I can configure appropriate retention rules and avoid data loss or excess storage.",core,Platform Engineer,Administer,main_job,,Configure retention policies | Monitor storage usage,Minimize risk of unintended data deletion | Ensure compliance retention periods are enforced | Reduce storage costs from unlimited retention,Understanding the Tekton Results retention policy,"records-combined.adoc -> Section 'Understanding the Tekton Results retention policy', lines 1449-1506",Retention policy determines when results/records are pruned - configured via config map with defaultRetention and fine-grained policies,records-combined.adoc
47,pac,Pipelines as Code,"When I need to implement GitOps-driven CI/CD for my applications, I want to understand how Pipelines as Code works, so I can determine if it meets my automation requirements.",core,Platform Administrator,Get Started,main_job,,Install Pipelines as Code | Configure Git repository integration,Minimize time to understand PaC capabilities | Reduce uncertainty about GitOps integration options | Ensure the solution supports my Git provider,About Pipelines as Code,"pac-combined.adoc -> About Pipelines as Code, lines 59-118",Main job covering initial understanding of PaC concepts and capabilities,pac
48,pac,Pipelines as Code,"When I need to enable Pipelines as Code functionality, I want to install it on my OpenShift cluster, so I can start using GitOps-driven pipelines.",consumption,Platform Administrator,Configure,main_job,Install OpenShift Pipelines Operator,Customize PaC configuration | Configure Git provider integration,Minimize installation time | Ensure PaC is correctly deployed in openshift-pipelines namespace | Avoid installation errors,Installing Pipelines as Code on an OpenShift cluster,"pac-combined.adoc -> Installing Pipelines as Code, lines 196-267",Main installation job,pac
49,pac,Pipelines as Code,"When I need to customize Pipelines as Code behavior, I want to configure parameters in the TektonConfig CR, so I can adjust settings like application name, remote tasks, and webhook behavior.",core,Platform Administrator,Configure,main_job,Install Pipelines as Code,Configure GitHub App settings | Set up error detection,Minimize configuration errors | Ensure settings match organizational policies | Enable necessary features while maintaining security,Customizing Pipelines as Code configuration,"pac-combined.adoc -> Customizing Pipelines as Code configuration, lines 342-397",Main job for PaC customization via TektonConfig,pac
50,pac,Pipelines as Code,"When I need to integrate Pipelines as Code with GitHub, I want to configure a GitHub App using the tkn CLI, so I can automate the setup process.",core,Platform Administrator,Configure,main_job,Install tkn pac CLI | Cluster administrator access,Verify GitHub App configuration | Install GitHub App on repositories,Minimize manual configuration steps | Reduce setup time | Avoid configuration errors,Configure a GitHub App using the command line interface,"pac-combined.adoc -> Configure a GitHub App using CLI, lines 570-612",Main job for GitHub App setup via CLI,pac
51,pac,Pipelines as Code,"When my pipeline needs to access multiple repositories, I want to scope the GitHub token to additional repositories, so I can fetch tasks or code from private repositories outside the main repository.",core,DevOps Engineer,Secure,main_job,GitHub App configured | Repository CR created,Configure global token scoping | Configure repository-level scoping,Minimize security risks while enabling necessary access | Ensure tokens work across required repositories | Avoid access denied errors in pipelines,Scope the GitHub token to additional repositories,"pac-combined.adoc -> Scope GitHub token, lines 776-895",Main job for token scoping to enable cross-repo access,pac
52,pac,Pipelines as Code,"When my organization uses GitLab, I want to integrate Pipelines as Code with GitLab webhooks, so I can use PaC with GitLab repositories.",core,Platform Administrator,Configure,main_job,PaC installed | GitLab personal access token,Configure GitLab webhook | Create Repository CR for GitLab,Enable PaC for GitLab repositories | Minimize integration complexity | Ensure merge request status is reported,Use Pipelines as Code with GitLab,"pac-combined.adoc -> Use PaC with GitLab, lines 1141-1339",Main job for GitLab integration,pac
53,pac,Pipelines as Code,"When my organization uses Bitbucket Cloud, I want to integrate Pipelines as Code with Bitbucket webhooks, so I can use PaC with Bitbucket repositories.",core,Platform Administrator,Configure,main_job,PaC installed | Bitbucket app password,Configure Bitbucket webhook | Create Repository CR for Bitbucket,Enable PaC for Bitbucket Cloud repositories | Minimize integration complexity | Ensure pull request status is reported,Use Pipelines as Code with Bitbucket Cloud,"pac-combined.adoc -> Use PaC with Bitbucket Cloud, lines 1348-1588",Main job for Bitbucket Cloud integration,pac
54,pac,Pipelines as Code,"When my organization uses Bitbucket Data Center, I want to integrate Pipelines as Code with Bitbucket webhooks, so I can use PaC with self-hosted Bitbucket repositories.",core,Platform Administrator,Configure,main_job,PaC installed | Bitbucket personal access token,Configure Bitbucket webhook | Create Repository CR for Bitbucket,Enable PaC for Bitbucket Data Center repositories | Minimize integration complexity | Ensure pull request status is reported,Use Pipelines as Code with Bitbucket Data Center,"pac-combined.adoc -> Use PaC with Bitbucket Data Center, lines 1598-1738",Main job for Bitbucket Data Center integration,pac
55,pac,Pipelines as Code,"When I want to connect a Git repository to Pipelines as Code, I want to create a Repository CR in my namespace, so I can enable PaC to process events from this repository.",core,Application Developer,Configure,main_job,PaC configured for Git provider | Target namespace created,Configure webhook or GitHub App | Define pipeline runs in .tekton directory,Minimize setup time for new repositories | Ensure PaC matches events to correct namespace | Avoid namespace targeting errors,Creating the Repository custom resource,"pac-combined.adoc -> Creating Repository CR, lines 1911-1939",Main job for Repository CR creation,pac
56,pac,Pipelines as Code,"When I need to create pipeline runs triggered by Git events, I want to define pipeline run definitions in the .tekton directory, so I can automate my CI/CD workflow.",core,Application Developer,Deploy,main_job,PaC configured with Git provider | Repository CR created | .tekton directory in repository,Match pipeline runs to events | Use dynamic variables | Reference remote tasks,Minimize time to create working pipeline runs | Ensure pipeline runs trigger on correct events | Enable reusable pipeline definitions,Creating a pipeline run in Pipelines as Code,"pac-combined.adoc -> Creating a pipeline run, lines 2216-2377",Main job for pipeline run creation,pac
57,pac,Pipelines as Code,"When Git events occur on my repository, I want Pipelines as Code to automatically run matching pipeline runs, so I can execute CI/CD workflows without manual intervention.",core,Application Developer,Deploy,main_job,Repository CR configured | Pipeline run definitions in .tekton directory | Git provider integration configured,Monitor pipeline run execution | View pipeline logs | Check run status,Ensure pipelines run automatically on events | Minimize manual pipeline triggering | Enable continuous integration,Running a pipeline run using Pipelines as Code,"pac-combined.adoc -> Running a pipeline run, lines 3162-3200",Main job for automatic pipeline execution,pac
58,pac,Pipelines as Code,"When I need to retry failed pipelines or cancel running pipelines, I want to use comments or GitHub App features, so I can control pipeline execution without new commits.",core,Application Developer,Operate,main_job,Pipeline run exists | Appropriate repository permissions,Use /retest comment | Use /cancel comment | Use Re-run all checks,Minimize unnecessary commits for testing | Enable quick pipeline retries | Reduce wasted cluster resources,Restarting or canceling a pipeline run,"pac-combined.adoc -> Restarting or canceling pipeline run, lines 3287-3375",Main job for pipeline run lifecycle control,pac
59,pac,Pipelines as Code,"When pipeline runs execute, I want to monitor their status through various channels, so I can identify failures and track progress.",core,Application Developer,Monitor,main_job,Pipeline run created and running,View status in GitHub Checks | View log error snippets | Check Repository CR status | Review Kubernetes events,Minimize time to identify failures | Ensure clear error reporting | Enable quick debugging,Monitoring pipeline run status,"pac-combined.adoc -> Monitoring pipeline run status, lines 3384-3468",Main job for pipeline run monitoring across multiple interfaces,pac
60,pac,Pipelines as Code,"When I need to manage Pipelines as Code from the command line, I want to use the tkn pac CLI tool, so I can bootstrap, create repositories, and troubleshoot PaC.",core,DevOps Engineer,Reference,main_job,tkn pac CLI installed,Bootstrap GitHub App | Create repositories | Resolve pipeline runs | List repositories,Minimize time for common PaC operations | Enable scripting and automation | Provide quick access to PaC functions,Pipelines as Code command reference,"pac-combined.adoc -> PaC command reference, lines 3660-3904",Main job for CLI-based PaC management,pac
61,secure,Securing OpenShift Pipelines,"When I need to ensure supply chain security for my CI/CD pipelines, I want to automatically sign and verify task runs and pipeline runs, so I can prove the integrity and provenance of my software artifacts.",core,Security engineer,Secure,main_job,,Configure Tekton Chains | Authenticate to OCI registry | Generate signing keys,Minimize risk of supply chain attacks | Ensure cryptographic proof of artifact integrity | Enable compliance with security policies | Reduce manual verification effort,Using Tekton Chains for OpenShift Pipelines supply chain security,"secure-combined.adoc -> 'Using Tekton Chains for OpenShift Pipelines supply chain security', lines 58-78. Key quote: 'You can use it to manage the supply chain security of the tasks and pipelines created using {pipelines-title}. By default, {tekton-chains} observes all task run executions... takes a snapshot... converts the snapshot to one or more standard payload formats, and finally signs and stores all artifacts.'",,secure-combined.adoc
62,secure,Securing OpenShift Pipelines,"When I need to customize Tekton Chains behavior for my organization, I want to modify configuration parameters via the TektonConfig custom resource, so I can control artifact formats, storage backends, and signing methods.",core,Cluster administrator,Configure,main_job,Install OpenShift Pipelines Operator,Configure storage backends | Configure signing schemes | Set transparency options,Minimize configuration complexity | Ensure configuration changes apply automatically | Reduce likelihood of misconfiguration | Enable standardized security controls across namespaces,Configuring Tekton Chains,"secure-combined.adoc -> 'Configuring Tekton Chains', lines 85-112. Key quote: 'The {pipelines-title} Operator installs {tekton-chains} by default. You can configure {tekton-chains} by modifying the TektonConfig custom resource; the Operator automatically applies the changes that you make in this custom resource.'",,secure-combined.adoc
63,secure,Securing OpenShift Pipelines,"When I need to sign task runs and pipeline runs, I want to generate and store cryptographic keys in Kubernetes secrets, so I can enable Tekton Chains to sign artifacts automatically.",core,Security engineer,Secure,main_job,Have openshift-pipelines namespace access,Choose signing scheme (x509 or cosign) | Generate cosign key pair | Generate x509 key pair,"Minimize time to generate signing keys | Ensure keys meet security requirements (encryption, key type) | Reduce risk of key compromise | Enable automated signing without manual key management",Secrets for signing data in Tekton Chains,"secure-combined.adoc -> 'Secrets for signing data in Tekton Chains', lines 631-656. Key quote: 'Cluster administrators can generate a key pair and use {tekton-chains} to sign artifacts by using a Kubernetes secret. For {tekton-chains} to work, a private key and a password for encrypted keys must exist as part of the signing-secrets secret in the openshift-pipelines namespace.'",,secure-combined.adoc
64,secure,Securing OpenShift Pipelines,"When I need to push signatures to an OCI registry, I want to configure service account credentials with registry authentication, so I can enable Tekton Chains to store signed artifacts in the registry.",core,Platform engineer,Configure,main_job,Have OCI registry accessible | Have Docker config credentials,Create custom service account | Patch service account with imagePullSecrets,Minimize authentication failures when pushing signatures | Ensure credentials are securely stored | Reduce manual credential management effort | Enable automated signature storage,Authenticating to an OCI registry,"secure-combined.adoc -> 'Authenticating to an OCI registry', lines 897-965. Key quote: 'Set up a service account with the necessary credentials so that {tekton-chains} can push signatures to an OCI registry. The {tekton-chains} controller uses the same service account that starts task runs. To configure authentication with an OCI registry, create the required credentials and associate them with this service account.'",,secure-combined.adoc
65,secure,Securing OpenShift Pipelines,"When I need to verify the complete signing workflow, I want to create a task run, retrieve its signature, and verify it with the public key, so I can ensure Tekton Chains is correctly signing artifacts.",core,Security engineer,Secure,main_job,Have Tekton Chains configured | Have signing keys generated | Have cosign installed,Configure Tekton Chains storage backend | Extract task run signature | Verify signature with cosign,Minimize time to validate signing workflow | Ensure signatures are cryptographically valid | Reduce risk of signing misconfiguration | Enable confidence in supply chain security,Creating and verifying task run signatures without any additional authentication,"secure-combined.adoc -> 'Creating and verifying task run signatures without any additional authentication', lines 973-1082. Key quote: 'To verify signatures of task runs by using {tekton-chains} with any additional authentication, perform the following tasks: Generate an encrypted x509 or cosign key pair... Configure the {tekton-chains} backend storage... Create a task run, sign it, and store the signature... Retrieve the signature and payload... Verify the signature of the task run.'",,secure-combined.adoc
66,secure,Securing OpenShift Pipelines,"When I need to prove image integrity and provenance for compliance, I want to sign OCI images and their provenance attestations, so I can enable cryptographic verification of the entire build process.",core,Security engineer,Secure,main_job,Have Tekton Chains configured | Have signing keys generated | Have OCI registry authentication configured,Configure Kaniko task for image building | Push signatures to OCI registry | Search Rekor transparency log,Ensure end-to-end build provenance is signed | Minimize risk of unsigned images in production | Enable tamper-proof audit trail | Reduce compliance audit effort,Using Tekton Chains to sign and verify image and provenance,"secure-combined.adoc -> 'Using Tekton Chains to sign and verify image and provenance', lines 1096-1237. Key quote: 'Cluster administrators can use {tekton-chains} to sign and verify images and provenances, by performing the following tasks: Generate an encrypted x509 or cosign key pair... Set up authentication for the OCI registry to store images, image signatures, and signed image attestations... Configure {tekton-chains} to generate and sign provenance... Create an image with Kaniko in a task run... Verify the signed image and the signed provenance.'",,secure-combined.adoc
67,secure,Securing OpenShift Pipelines,"When I need to visualize supply chain security artifacts in the OpenShift web console, I want to configure pipelines to display signed badges, vulnerabilities, and SBOMs, so I can quickly assess security posture without CLI tools.",core,DevOps engineer,Observe,main_job,Have Tekton Chains configured | Have vulnerability scanning task | Have SBOM generation task,Configure vulnerability scanning | Configure SBOM generation | View signed badges in UI,Minimize time to assess security status | Enable non-CLI users to access security data | Reduce friction in security review workflows | Ensure security artifacts are visible in developer workflows,Setting up OpenShift Pipelines to view Software Supply Chain Security elements,"secure-combined.adoc -> 'Setting up OpenShift Pipelines to view Software Supply Chain Security elements', lines 1305-1326. Key quote: 'Use the Developer or Administrator perspective to create or change a pipeline and view key Software Supply Chain Security elements within a project. Set up {pipelines-shortname} to view: Project vulnerabilities... Software Bill of Materials (SBOMs)... PipelineRuns that meet {tekton-chains} requirement displays signed badges next to their names.'",,secure-combined.adoc
68,secure,Securing OpenShift Pipelines,"When I need to control security permissions for pipeline pods, I want to configure security context constraints (SCC) for task runs and pipeline runs, so I can enforce least-privilege principles while enabling required capabilities.",core,Cluster administrator,Secure,main_job,Have OpenShift Pipelines installed,Configure default SCC for all pods | Configure namespace-specific SCC | Create custom SCC for specific runs,"Minimize security risks from excessive permissions | Enable required capabilities (e.g., SETFCAP for Buildah) | Reduce likelihood of privilege escalation | Ensure compliance with security policies",Configuring the security context for pods,"secure-combined.adoc -> 'Configuring the security context for pods', lines 1731-1766. Key quote: 'The default service account for pods that {pipelines-shortname} starts is pipeline. The security context constraint (SCC) associated with the pipeline service account is pipelines-scc... You can configure the security context for pods that {pipelines-shortname} creates for pipeline runs and task runs. You can make the following changes: Change the default and maximum SCC for all pods, Change the default SCC for pods created for pipeline runs and task runs in a particular namespace, Configure a particular pipeline run or task run to use a custom SCC and service account.'",,secure-combined.adoc
69,secure,Securing OpenShift Pipelines,"When I need to protect webhook endpoints from unauthorized access, I want to enable HTTPS for event listeners, so I can ensure secure communication within and outside the cluster",core,Cluster admin,Secure,main_job,Create namespace | Install OpenShift Pipelines Operator,Configure Trigger resources | Create TriggerBinding | Create TriggerTemplate,Minimize risk of webhook data interception | Ensure encrypted connections to event listeners | Enable both internal and external secure access,Securing webhooks with event listeners,"Section 'Securing webhooks with event listeners', lines 2044-2063. Abstract states: 'you enable HTTPS for the Eventlistener resource by adding the operator.tekton.dev/enable-annotation=enabled label to the namespace'",,
70,secure,Securing OpenShift Pipelines,"When pipelines need to interact with protected repositories, I want to configure authentication using secrets, so I can enable secure access to Git and container repositories during pipeline execution",core,DevOps engineer,Secure,main_job,"Create service account or define workspace | Have repository credentials (tokens, SSH keys, or Docker configs)",Configure pipeline runs | Configure task runs | Manage service account permissions,Minimize risk of credential exposure | Enable authenticated access to private repositories | Reduce authentication configuration complexity,Authenticating pipelines with repositories using secrets,"Section 'Authenticating pipelines with repositories using secrets', lines 2246-2316. Abstract states: 'you can use secrets to authenticate pipeline runs and task runs that interact with a Git repository or container repository during execution'",,
71,secure,Securing OpenShift Pipelines,"When I need to build container images in pipelines, I want to run Buildah as a non-root user, so I can reduce security exposure from container processes and prevent potential host access from malicious resources",core,Security engineer,Secure,main_job,Understand security context constraints | Have buildah task available,Configure custom service accounts | Define security context constraints | Build images in pipelines,Minimize security exposure from root-level container processes | Reduce risk of container escape attacks | Enable unprivileged image builds,Building of container images using Buildah as a non-root user,"Section 'Building of container images using Buildah as a non-root user', lines 3137-3207. Abstract states: 'Running OpenShift Pipelines as the root user on a container can expose the container processes and the host to other potentially malicious resources. You can reduce this type of exposure by running the workload as a specific non-root user'",,
72,secure,Securing OpenShift Pipelines,"When I need to build OCI images with enhanced security, I want to use the buildah-ns task with user namespace isolation, so I can improve container isolation at the kernel level without requiring container runtime daemons",core,Security engineer,Secure,main_job,Understand user namespace concepts | Have buildah-ns task available,Build images with standard buildah task | Configure user namespace annotations,Minimize impact of container escape vulnerabilities | Ensure kernel-level isolation between containers | Reduce privilege exposure through UID mapping,Using buildah-ns Tekton task,"Section 'Using buildah-ns Tekton task', lines 3700-3772. Abstract states: 'The buildah-ns Tekton task builds Open Container Initiative (OCI) images without requiring a container runtime daemon...uses buildah and applies user namespace isolation to provide enhanced security'",,
73,hub,Custom Tekton Hub instance,"When I need a catalog of reusable tasks and pipelines without user authentication requirements, I want to install Tekton Hub with default configuration, so I can quickly enable my team to discover and share CI/CD components.",core,Cluster administrator,Deploy,main_job,Install Red Hat OpenShift Pipelines Operator,Install Tekton Hub with login and rating | Update custom categories and catalogs,Minimize time to deploy a working Tekton Hub instance | Reduce complexity by avoiding authentication setup | Ensure catalog is available for task discovery,Installing Tekton Hub without login and rating,lines 114-196: Installing Tekton Hub without login and rating,Default installation mode for basic hub functionality without OAuth.,using-tekton-hub-with-openshift-pipelines-combined.adoc
74,hub,Custom Tekton Hub instance,"When I need to provide authenticated access and rating capabilities for Tekton Hub artifacts, I want to install Tekton Hub with OAuth integration, so I can enable user-driven quality feedback and access control.",core,Cluster administrator,Deploy,main_job,Install Red Hat OpenShift Pipelines Operator | Create OAuth application with Git hosting provider,Install Tekton Hub without login and rating | Add new users to Tekton Hub configuration,Ensure only authorized users can rate and contribute | Minimize security risks by enforcing authentication | Enable community-driven quality signals through ratings,Installing Tekton Hub with login and rating,lines 206-346: Installing Tekton Hub with login and rating,"Advanced installation mode requiring OAuth setup with GitHub, GitLab, or Bitbucket.",using-tekton-hub-with-openshift-pipelines-combined.adoc
75,hub,Custom Tekton Hub instance,"When I need production-grade database reliability for Tekton Hub, I want to replace the default PostgreSQL with a custom database, so I can leverage existing database infrastructure and meet enterprise requirements.",core,Cluster administrator,Configure,main_job,,Install Crunchy Postgres database | Migrate Tekton Hub data to external database,Ensure database meets enterprise backup and availability requirements | Reduce operational overhead by using managed database services | Maintain data persistence across Tekton Hub upgrades,Using a custom database in Tekton Hub,lines 355-442: Using a custom database in Tekton Hub,Supports associating custom database at install time or post-installation.,using-tekton-hub-with-openshift-pipelines-combined.adoc
76,hub,Custom Tekton Hub instance,"When I need a production-grade PostgreSQL database for Tekton Hub, I want to install and configure Crunchy Postgres Operator with appropriate network access, so I can provide reliable database services for the hub.",consumption,Cluster administrator,Deploy,main_job,Install Crunchy Postgres Operator from OperatorHub | Create Postgres instance,Use custom database in Tekton Hub | Migrate Tekton Hub data to Crunchy Postgres,Ensure database accepts connections from Tekton Hub pods | Minimize connectivity issues by configuring pg_hba.conf correctly | Provide scalable and reliable database backend,Installing Crunchy Postgres database and Tekton Hub,lines 451-611: Installing Crunchy Postgres database and Tekton Hub,Detailed procedure for configuring Crunchy Postgres network access and creating connection secret.,using-tekton-hub-with-openshift-pipelines-combined.adoc
77,hub,Custom Tekton Hub instance,"When I need to move from the default Tekton Hub database to an external Crunchy Postgres instance, I want to dump and restore the data, so I can migrate without losing existing catalog information, user ratings, or configuration.",consumption,Cluster administrator,Migrate,main_job,Have running Tekton Hub with default database | Have configured Crunchy Postgres instance | Install Crunchy Postgres with network access configured,Install Crunchy Postgres database | Use custom database in Tekton Hub,Ensure zero data loss during migration | Minimize downtime for Tekton Hub users | Validate all data is restored correctly before cutover,Migrating Tekton Hub data to an existing Crunchy Postgres database,lines 620-820: Migrating Tekton Hub data to an existing Crunchy Postgres database,Multi-step migration using pg_dump and pg_restore with pod file copying.,using-tekton-hub-with-openshift-pipelines-combined.adoc
78,hub,Custom Tekton Hub instance,"When I need to align Tekton Hub with my organization's taxonomy and approved task catalogs, I want to customize categories, catalogs, scopes, and default scopes in the TektonHub CR, so I can provide a tailored experience for my users.",core,Cluster administrator,Configure,main_job,Have Tekton Hub installed,Modify catalog refresh interval | Add new users with custom scopes,Ensure users see only organization-relevant categories | Minimize confusion by removing irrelevant public catalog entries | Provide organization-specific task collections,Updating Tekton Hub with custom categories and catalogs,lines 829-864: Updating Tekton Hub with custom categories and catalogs,Overrides default config map values when specified in TektonHub CR.,using-tekton-hub-with-openshift-pipelines-combined.adoc
79,hub,Custom Tekton Hub instance,"When I need to control how frequently Tekton Hub updates task catalogs from upstream repositories, I want to modify the catalog refresh interval, so I can balance catalog freshness with system load.",core,Cluster administrator,Configure,main_job,Have Tekton Hub installed,Update custom categories and catalogs,Ensure catalog updates happen at appropriate intervals | Minimize unnecessary network and processing overhead | Reduce staleness of catalog data,Modifying the catalog refresh interval of Tekton Hub,lines 873-916: Modifying the catalog refresh interval of Tekton Hub,"Default interval is 30 minutes; supports seconds, minutes, hours, days, weeks.",using-tekton-hub-with-openshift-pipelines-combined.adoc
80,hub,Custom Tekton Hub instance,"When I need to grant specific users administrative capabilities in Tekton Hub, I want to add users with custom scopes like agent:create or catalog:refresh, so I can delegate catalog management responsibilities.",core,Cluster administrator,Administer,main_job,Have Tekton Hub installed with OAuth authentication | Have usernames from Git repository hosting provider,Install Tekton Hub with login and rating | Refresh Tekton Hub configuration,Ensure new users have appropriate permissions upon first login | Minimize security risks by assigning least-privilege scopes | Enable delegated catalog administration,Adding new users in Tekton Hub configuration,lines 925-990: Adding new users in Tekton Hub configuration,New users get only default scopes until added to scopes field in TektonHub CR.,using-tekton-hub-with-openshift-pipelines-combined.adoc
81,hub,Custom Tekton Hub instance,"When I upgrade OpenShift Pipelines Operator from 1.7 to 1.8, I want to disable login authorization and ratings in Tekton Hub, so I can align with the new default behavior without authentication.",consumption,Cluster administrator,Upgrade,main_job,Upgraded OpenShift Pipelines Operator from 1.7 to 1.8 | Have existing Tekton Hub instance from 1.7,Install Tekton Hub without login and rating,Remove authentication requirements after upgrade | Ensure Tekton Hub reaches Ready state after changes | Minimize user confusion by aligning with 1.8 defaults,Disabling Tekton Hub authorization after upgrading from 1.7 to 1.8,lines 998-1080: Disabling Tekton Hub authorization after upgrade from 1.7 to 1.8,Manual cleanup required because upgrade does not automatically disable auth.,using-tekton-hub-with-openshift-pipelines-combined.adoc
82,tkn_cli,Pipelines CLI (tkn) reference,"When I need to manage OpenShift Pipelines from a terminal, I want to install the tkn CLI tool on my platform, so I can interact with pipelines using command-line operations",core,OpenShift Pipelines user,Get Started,main_job,,Verify tkn CLI installation | Configure tkn CLI for cluster access | Execute pipeline operations using tkn,tkn CLI installed on local system | tkn command available in PATH | Ability to execute tkn commands from terminal,Installing tkn,"tkn_cli-combined.adoc -> Installing tkn, lines 58-66",Main job covering the overall installation goal across all platforms,tkn_cli-combined.adoc
83,tkn_cli,Pipelines CLI (tkn) reference,"When I need to work more efficiently with the tkn CLI, I want to configure the CLI environment with tab completion and customizations, so I can execute commands faster and with fewer errors",core,CLI user,Configure,main_job,tkn CLI installed,Install tkn CLI | Use tkn commands,CLI is configured for optimal usage | Tab completion is enabled | Command execution is more efficient,Configuring the {pipelines-shortname} tkn CLI,"tkn_cli-combined.adoc -> Configuring the {pipelines-shortname} tkn CLI, lines 310-363",Main job covering the entire configuration section,tkn_cli-combined.adoc
84,tkn_cli,Pipelines CLI (tkn) reference,"When I need to set up the tkn CLI for the first time, I want to verify the installation and check available commands, so I can confirm the tool is working correctly",core,Pipeline operator,Get Started,main_job,tkn CLI installed,Enable shell completion | Check CLI version,Confirm tkn is installed and accessible | Understand available tkn commands | Verify correct version is installed,Utility commands,"tkn_cli-combined.adoc -> Utility commands, lines 400-431",Foundational job for CLI usage,tkn_cli-combined.adoc
85,tkn_cli,Pipelines CLI (tkn) reference,"When I am managing CI/CD workflows, I want to manage pipelines from the command line, so I can create, monitor, and control pipeline resources without using the web console",core,Pipeline operator,Operate,main_job,tkn CLI installed | OpenShift Pipelines installed | Cluster access configured,Manage pipeline runs | Manage tasks | Monitor pipeline execution,Create and deploy pipelines | List and inspect pipeline configurations | Start pipeline executions | Delete obsolete pipelines | View pipeline execution logs,Pipelines management commands,"tkn_cli-combined.adoc -> Pipelines management commands, lines 442-502",Core operational job for pipeline lifecycle management,tkn_cli-combined.adoc
86,tkn_cli,Pipelines CLI (tkn) reference,"When I am operating CI/CD pipelines, I want to manage pipeline runs from the command line, so I can monitor, control, and clean up pipeline executions",core,Pipeline operator,Operate,main_job,tkn CLI installed | Access to pipeline runs,Manage pipelines | View logs | Monitor execution,List active and completed runs | Inspect run details and status | Cancel running executions | Delete old or failed runs | View execution logs,Pipeline run commands,"tkn_cli-combined.adoc -> Pipeline run commands, lines 512-590",Pipeline runs are execution instances of pipeline definitions,tkn_cli-combined.adoc
87,tkn_cli,Pipelines CLI (tkn) reference,"When I am building reusable CI/CD components, I want to manage tasks from the command line, so I can create, organize, and maintain task definitions",core,Pipeline developer,Operate,main_job,tkn CLI installed | Access to namespace | Understanding of task concepts,Manage pipelines | Manage task runs | Test tasks,Create and deploy task definitions | List available tasks | Inspect task specifications | Execute tasks for testing | Remove obsolete tasks,Task management commands,"tkn_cli-combined.adoc -> Task management commands, lines 600-650",Tasks are reusable units of work within pipelines,tkn_cli-combined.adoc
88,tkn_cli,Pipelines CLI (tkn) reference,"When I am testing and troubleshooting tasks, I want to manage task runs from the command line, so I can monitor individual task executions and clean up test runs",core,Pipeline developer,Operate,main_job,tkn CLI installed | Access to task runs,Manage tasks | Monitor task execution | Debug failures,List task executions | Inspect run details | Cancel running tasks | Delete old test runs | View execution logs,Task run commands,"tkn_cli-combined.adoc -> Task run commands, lines 661-729",Task runs are execution instances of task definitions,tkn_cli-combined.adoc
89,tkn_cli,Pipelines CLI (tkn) reference,"When I need to configure pipeline inputs and outputs, I want to manage pipeline resources from the command line, so I can create and maintain resource definitions for my pipelines",core,Pipeline operator,Configure,main_job,tkn CLI installed | Understanding of resource types | Access to namespace,Manage pipelines | Configure workspaces,Create pipeline resources | List available resources | Inspect resource configurations | Update resource definitions | Delete obsolete resources,Pipeline resource management commands,"tkn_cli-combined.adoc -> Pipeline resource management commands, lines 739-791","Pipeline resources define inputs/outputs like git repos, images, storage",tkn_cli-combined.adoc
90,tkn_cli,Pipelines CLI (tkn) reference,"When I am implementing event-driven CI/CD, I want to manage trigger resources from the command line, so I can configure automated pipeline execution based on external events",core,DevOps engineer,Configure,main_job,tkn CLI installed | Tekton Triggers installed | Understanding of trigger concepts,Manage pipelines | Configure webhooks | Monitor events,Create and configure event listeners | Define trigger bindings for event data | Set up trigger templates | Manage cluster-level triggers | Enable webhook-based automation,Trigger management commands,"tkn_cli-combined.adoc -> Trigger management commands, lines 801-953","Covers EventListener, TriggerBinding, TriggerTemplate, ClusterTriggerBinding",tkn_cli-combined.adoc
91,tkn_cli,Pipelines CLI (tkn) reference,"When I am building pipelines, I want to discover and install tasks from Tekton Hub, so I can reuse community-maintained tasks instead of building everything from scratch",core,Pipeline developer,Get Started,main_job,tkn CLI installed | Internet access to Tekton Hub | Understanding of task concepts,Manage tasks | Build pipelines | Share tasks,Search for reusable tasks | Install tasks from catalog | View task documentation | Upgrade installed tasks | Manage task versions,Hub interaction commands,"tkn_cli-combined.adoc -> Hub interaction commands, lines 963-1050",Hub provides catalog of reusable Tekton resources,tkn_cli-combined.adoc
